z,y,x
195.92886,48.78428,254.9094
237.03502,49.29558,272.34967
238.44551,48.63304,303.81097
216.04454,50.956516,136.42397
282.58847,49.057873,186.01158
237.99712,50.245388,243.09091
236.61998,49.952858,255.22975
169.26093,49.949436,279.8334
165.54848,51.79112,356.44247
52.285267,54.62179,36.061478
195.84436,51.216915,209.69771
247.66841,49.771507,222.44653
258.47964,49.518707,223.83502
244.61473,49.969955,230.74103
243.5197,50.064278,231.69305
243.83972,50.06995,232.9261
316.3464,49.615715,241.08669
133.34363,52.193283,243.71822
195.869,49.740883,247.28914
237.94914,49.877148,256.43814
245.92615,49.46574,260.02914
168.52937,50.10557,274.95773
194.94106,51.024063,278.89188
277.53967,48.427757,279.14453
281.89905,48.470848,283.13422
241.71013,48.606384,289.82397
244.15358,48.65647,290.2243
242.48947,48.582634,296.13287
324.89215,48.143124,299.97305
267.71054,49.013557,300.9207
238.14761,48.643417,309.6675
240.16142,48.802906,320.31912
235.41656,48.66665,320.18036
241.31125,48.811115,325.14105
176.70961,50.121094,338.3789
167.97743,49.488544,341.74948
150.03937,49.043015,357.9981
161.06645,50.112957,359.97412
192.23845,52.091164,84.994156
259.99298,49.348286,178.3781
260.50644,49.9233,199.92538
259.49545,49.969406,203.82338
192.87094,51.36238,213.48114
249.75981,50.1084,213.96063
246.66573,50.080566,216.35016
247.36534,49.760227,221.28511
240.75487,50.01902,227.80585
235.36884,49.808784,234.807
237.41687,49.98513,239.27974
241.96558,50.18723,240.68398
256.8514,49.300056,242.73631
240.5578,50.257797,242.70172
196.95303,50.144142,242.83073
269.88098,49.449253,242.78328
154.24875,51.44604,243.6658
239.37076,50.2454,244.52948
241.24774,50.05409,246.8268
194.81102,48.922203,251.98715
173.50981,50.862034,254.57164
163.52257,51.267963,256.03683
190.99936,48.990135,263.21494
241.76186,49.247368,265.54276
239.62288,49.177193,270.02063
307.82,48.55193,273.3937
258.64005,50.045574,275.2173
242.66396,48.86438,277.3335
195.26953,51.056713,278.20578
234.74733,49.163647,278.79343
242.75023,48.7316,281.97113
246.23244,48.682228,288.4952
196.09384,50.199875,289.68115
254.8612,48.828506,292.91763
156.46452,52.696922,301.60953
183.38869,49.971977,306.54327
279.2366,49.23552,305.9333
242.34732,48.753296,319.90204
125.233154,50.65996,321.2137
239.73663,48.676933,330.1915
189.12872,49.92992,341.7857
173.27164,50.575607,344.20886
190.05363,49.818535,344.79846
262.7965,48.232075,345.31738
171.71721,50.50878,352.2534
150.26865,49.080673,352.92792
195.33221,49.353523,353.44534
256.99536,48.30423,353.4935
146.87209,49.35429,357.91257
123.09518,50.17101,360.84918
188.67783,52.48339,50.371304
10.744228,55.1202,67.61291
96.60184,52.975735,152.48523
261.8553,49.266323,175.72694
235.44127,50.292957,180.0765
272.93668,49.268784,183.5429
250.56583,50.188404,192.01256
248.16042,50.05333,197.18721
239.80632,49.883984,200.49728
250.64566,50.462223,200.3548
247.87079,50.170788,200.93036
250.31815,50.087143,208.48079
198.05315,51.068016,209.71942
154.37186,52.16871,217.52475
232.53189,49.770885,222.23964
247.20595,49.847897,225.29642
244.16673,50.036533,232.30762
200.5726,50.62201,232.98012
236.46564,49.863506,235.7782
309.18518,49.472847,235.3194
290.85324,49.467453,235.27133
298.0264,49.488262,235.63377
309.78674,49.527245,235.97466
272.67438,49.447945,235.92308
297.0851,49.491833,235.93988
235.18602,49.780674,236.54921
244.28607,49.863632,237.34627
310.07724,49.5526,237.12074
235.16689,49.813046,238.95969
241.62672,50.20878,239.54608
236.46483,49.922024,239.82901
307.38025,49.337708,240.86969
307.42612,49.233322,244.10422
243.28238,50.044106,245.36372
156.67519,51.500126,246.25815
173.38725,50.872746,246.59277
256.77985,49.13369,247.37834
129.78654,52.167377,249.4725
145.86456,51.329113,250.36482
265.31506,49.09784,249.95403
253.54254,49.21181,250.1799
197.99818,49.192314,250.68864
239.3123,49.83995,255.3372
287.31647,48.80496,259.02655
143.30107,51.568546,262.20044
148.80919,51.197796,262.7371
112.89911,50.838303,263.36475
325.41922,48.99388,267.5436
119.17911,51.84658,270.10526
277.777,48.822823,269.60892
306.94427,48.623947,270.75104
170.95244,50.048355,272.52957
238.65524,49.21977,272.50955
120.17276,51.88995,273.88547
235.08295,49.247204,273.40445
327.97226,48.77903,274.46194
254.50328,48.933323,274.95352
239.55496,49.074783,275.27588
239.59636,49.059185,276.22745
243.49532,48.851284,277.90598
240.35681,48.86662,280.86713
279.9149,48.46956,281.09033
202.65947,49.636295,282.58774
193.00714,50.796875,283.26892
267.09235,49.86781,283.89136
243.96164,48.665894,287.3303
330.2231,48.383347,288.43527
153.14429,50.912483,291.46423
297.02258,48.25525,290.87448
133.4816,51.169933,292.96194
186.30121,50.5457,297.26996
148.15935,51.380806,301.7877
168.70044,53.399666,301.92038
238.67868,48.61816,304.70346
283.01736,49.262657,305.2072
163.73001,52.12009,308.43008
150.65927,51.40803,313.02237
149.31792,50.851463,315.68192
257.2254,48.451546,320.02844
130.08476,50.599514,321.8771
127.844894,50.630936,322.07913
185.75237,49.59364,322.63248
212.36476,49.152412,323.47156
157.48218,50.706413,326.1452
129.4812,50.518913,327.00595
108.44581,50.615463,327.93472
204.05243,49.979084,330.1709
168.83018,49.283493,336.96225
207.26851,49.27385,337.0734
162.59416,49.95106,339.15176
163.28673,49.91474,339.959
176.33759,50.760445,342.60358
130.79031,50.03897,350.03967
171.62033,50.5732,350.9633
290.39334,51.429966,-15.535359
89.47225,54.1342,38.485394
57.45326,54.56268,45.951145
240.63402,49.913727,200.58867
308.24112,48.71567,204.6858
196.23782,51.098522,207.30583
250.5649,50.068737,207.67886
186.86205,51.33348,209.23727
194.60443,51.249825,209.4736
194.31284,51.328125,211.2981
250.94475,50.129074,212.26352
191.86166,51.246105,216.09134
282.25632,49.797962,222.6799
245.81404,50.06956,225.19098
153.36139,51.752033,227.88199
246.88533,49.813656,228.86736
246.701,49.812572,229.45174
286.81403,49.431484,229.7667
306.07504,49.294327,233.23294
298.47702,49.494915,233.48697
257.98535,49.48714,235.08989
285.52673,49.42639,235.00548
239.26003,50.13159,236.21443
272.68542,49.44104,236.5135
240.82047,50.220524,236.99342
238.52548,50.035656,237.6008
240.54553,50.239086,237.8795
271.59256,49.465557,238.18124
