z,y,x
118.46612,38.094204,83.83306
75.4223,39.01415,84.52894
30.318407,34.592888,170.07831
164.74875,29.710178,206.99701
422.71384,23.070759,231.73744
184.3059,26.239965,259.1673
234.41733,22.997316,303.71252
189.44023,21.180115,326.65503
208.28802,20.913544,329.0891
199.43396,21.2336,328.8507
183.77335,21.292917,328.11725
200.47205,21.068697,330.4871
190.74457,21.041658,330.11807
191.90784,20.962372,331.61862
208.16858,20.58179,333.91754
184.73367,20.949842,332.7976
183.12503,20.991228,333.17197
182.99713,20.761717,336.87848
159.62813,21.741566,334.30515
182.08078,20.823357,336.50372
170.19084,21.662506,335.92328
172.37839,21.350378,337.68253
167.89824,21.67285,338.5836
166.04378,21.408276,341.58722
431.0965,11.866574,408.02173
279.32776,15.280805,403.47845
369.77774,41.09436,-40.155132
408.95193,33.989445,60.541653
437.34467,32.41917,77.311386
323.18054,29.316729,163.0327
182.53604,25.319475,268.89728
235.76065,22.656744,303.18585
209.5395,20.858631,329.06586
205.3229,20.942087,330.25803
186.08405,21.019663,330.92963
165.05272,21.818354,329.4957
173.03282,21.582111,331.07587
176.70915,21.383896,331.6187
165.17775,21.82823,332.0287
38.534966,17.912092,436.3303
93.88544,14.248738,477.8194
65.41053,46.72314,-33.719067
429.33365,36.506016,14.421449
412.01752,35.64709,33.756985
450.4328,34.564312,38.794807
433.61618,31.95184,85.697136
374.4841,33.361603,82.22318
415.06262,32.33242,85.8593
266.3028,31.654562,143.74072
363.07632,28.5631,162.62633
396.061,25.797731,196.03831
373.77518,25.640343,206.12816
203.03564,26.055058,248.53305
191.99092,26.670732,247.7864
170.93791,25.361252,269.24734
286.73996,22.3997,281.2612
286.2703,22.34191,282.39774
210.06242,23.163237,291.02893
263.77615,21.675713,295.71567
370.70456,19.511463,304.07642
260.25824,21.562298,297.35382
205.77402,23.098648,293.76465
346.49597,19.893179,304.63596
163.30939,23.923157,296.04086
207.29514,22.664614,300.46786
245.9643,21.500427,307.0787
370.91116,18.56212,320.08817
205.79077,22.062834,311.1435
288.88586,20.048208,319.3211
281.35266,20.088175,320.3745
367.30292,17.76645,334.15973
189.94098,21.229046,325.31027
188.5103,21.200308,326.47855
184.28032,21.352837,326.31946
