MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
2/20/2025 14:00:42,1.17.0,baseline,7,3.88,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,387,nan
2/20/2025 14:01:10,1.17.0,baseline,7,3.88,4,1,Pellet,LeftANDRight,0,1,0,1,0,6.43,nan,nan,15
2/20/2025 14:01:13,1.17.0,baseline,7,3.88,nan,1,Right,LeftANDRight,0,2,0,1,0,nan,nan,418,nan
2/20/2025 14:01:41,1.17.0,baseline,7,3.87,2,1,Pellet,LeftANDRight,0,2,0,2,0,10.36,31,nan,15
2/20/2025 14:09:13,1.17.0,baseline,7,3.88,nan,1,Right,LeftANDRight,0,3,0,2,0,nan,nan,2,nan
2/20/2025 14:09:37,1.17.0,baseline,7,3.88,1,1,Pellet,LeftANDRight,0,3,0,3,0,7.97,476,nan,15
2/20/2025 14:33:56,1.17.0,baseline,7,3.87,nan,1,Right,LeftANDRight,0,4,0,3,0,nan,nan,442,nan
2/20/2025 14:34:15,1.17.0,baseline,7,3.88,1,1,Pellet,LeftANDRight,0,4,0,4,0,3.18,1478,nan,15
2/20/2025 14:57:35,1.17.0,baseline,7,3.87,nan,1,Right,LeftANDRight,0,5,0,4,0,nan,nan,7,nan
2/20/2025 14:57:54,1.17.0,baseline,7,3.87,1,1,Pellet,LeftANDRight,0,5,0,5,0,3.24,1419,nan,15
2/20/2025 14:59:24,1.17.0,baseline,7,3.87,nan,1,Right,LeftANDRight,0,6,0,5,0,nan,nan,54,nan
2/20/2025 14:59:46,1.17.0,baseline,7,3.87,1,1,Pellet,LeftANDRight,0,6,0,6,0,5.15,112,nan,15
2/20/2025 16:03:05,1.17.0,baseline,7,3.87,nan,1,Right,LeftANDRight,0,7,0,6,0,nan,nan,2,nan
2/20/2025 16:03:34,1.17.0,baseline,7,3.87,1,1,Pellet,LeftANDRight,0,7,0,7,0,12.95,3828,nan,15
