ID,starting_fi,time
3706,396.94424411292533,201.6146646306367
3707,473.9481947152585,244.39036034196357
3708,413.2409822218893,226.23422203176634
3709,395.5599190767052,217.96871612770747
3710,433.9603316121951,235.56910426642958
3711,385.44943330395404,212.60216656472056
3712,464.4618380203126,230.2951424995181
3713,382.9730808067678,205.72298370415697
3714,371.4793429187418,207.87041440057706
3716,344.4778525190611,177.55141745810334
3717,364.42309228858426,179.63455769050887
3718,308.87518268338033,168.97034187286573
3719,311.88604476008254,166.84526920042748
3720,326.951258716277,163.9593600569679
3721,316.98579352196253,178.72775004742817
3722,326.41338304342094,181.0882412144459
3723,342.651618987964,184.02435855831183
3724,313.4010548424825,176.1578430624034
3725,347.2772225655852,186.91195268545056
3726,317.25066262714154,182.29509890939238
3727,331.6963757765983,178.68348323913753
3728,310.87212008801924,168.76778691238295
3729,328.6036562135538,180.5155621640386
