MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/12/2025 8:34:17,1.17.0,certainty,4,3.82,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,322,nan
3/12/2025 8:34:33,1.17.0,certainty,4,3.82,1,1,Pellet,LeftANDRight,1,0,0,1,0,0.12,nan,nan,15
3/12/2025 8:34:39,1.17.0,certainty,4,3.82,nan,1,Right,LeftANDRight,1,1,0,1,0,nan,nan,267,nan
3/12/2025 8:35:22,1.17.0,certainty,4,3.82,1,1,Pellet,LeftANDRight,1,1,0,2,0,26.90,49,nan,15
3/12/2025 8:36:00,1.17.0,certainty,4,3.81,nan,1,Right,LeftANDRight,1,2,0,2,0,nan,nan,1370,nan
3/12/2025 8:36:23,1.17.0,certainty,4,3.81,1,1,Pellet,LeftANDRight,1,2,0,3,0,7.11,61,nan,15
3/12/2025 8:41:30,1.17.0,certainty,4,3.82,nan,1,Right,LeftANDRight,1,3,0,3,0,nan,nan,653,nan
3/12/2025 8:41:40,1.17.0,certainty,4,3.82,nan,1,RightinTimeout,LeftANDRight,1,4,0,3,0,nan,nan,0,nan
3/12/2025 8:41:40,1.17.0,certainty,4,3.82,nan,1,RightinTimeout,LeftANDRight,1,4,0,3,0,nan,nan,297,nan
3/12/2025 8:41:40,1.17.0,certainty,4,3.82,nan,1,RightinTimeout,LeftANDRight,1,4,0,3,0,nan,nan,597,nan
3/12/2025 8:41:47,1.17.0,certainty,4,3.82,1,1,Pellet,LeftANDRight,1,4,0,4,0,1.77,324,nan,15
3/12/2025 8:41:56,1.17.0,certainty,4,3.82,nan,1,Left,LeftANDRight,2,4,0,4,0,nan,nan,129,nan
3/12/2025 8:42:14,1.17.0,certainty,4,3.82,1,1,Pellet,LeftANDRight,2,4,0,5,0,1.46,27,nan,15
3/12/2025 8:43:38,1.17.0,certainty,4,3.81,nan,1,Right,LeftANDRight,2,5,0,5,0,nan,nan,0,nan
3/12/2025 8:43:56,1.17.0,certainty,4,3.81,1,1,Pellet,LeftANDRight,2,5,0,6,0,2.08,102,nan,15
3/12/2025 8:44:48,1.17.0,certainty,4,3.82,nan,1,Left,LeftANDRight,3,5,0,6,0,nan,nan,0,nan
3/12/2025 8:45:11,1.17.0,certainty,4,3.82,1,1,Pellet,LeftANDRight,3,5,0,7,0,7.11,75,nan,15
3/12/2025 10:11:18,1.17.0,certainty,4,3.81,nan,1,Right,LeftANDRight,3,6,0,7,0,nan,nan,0,nan
3/12/2025 10:11:46,1.17.0,certainty,4,3.80,7,1,Pellet,LeftANDRight,3,6,0,8,0,0.61,5195,nan,15
