MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/5/2025 8:05:11,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,486,nan
3/5/2025 8:05:37,1.17.0,certainty,4,4.19,3,1,Pellet,LeftANDRight,0,1,0,1,0,5.51,nan,nan,15
3/5/2025 8:05:41,1.17.0,certainty,4,4.19,nan,1,Left,LeftANDRight,1,1,0,1,0,nan,nan,455,nan
3/5/2025 8:06:18,1.17.0,certainty,4,4.19,1,1,Pellet,LeftANDRight,1,1,0,2,0,21.60,41,nan,15
3/5/2025 8:08:58,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,1,2,0,2,0,nan,nan,779,nan
3/5/2025 8:09:18,1.17.0,certainty,4,4.19,2,1,Pellet,LeftANDRight,1,2,0,3,0,3.06,179,nan,15
3/5/2025 8:09:29,1.17.0,certainty,4,4.19,nan,1,Left,LeftANDRight,2,2,0,3,0,nan,nan,454,nan
3/5/2025 8:09:46,1.17.0,certainty,4,4.19,1,1,Pellet,LeftANDRight,2,2,0,4,0,1.34,29,nan,15
3/5/2025 8:22:43,1.17.0,certainty,4,4.19,nan,1,Left,LeftANDRight,3,2,0,4,0,nan,nan,395,nan
3/5/2025 8:23:04,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,3,2,0,5,0,5.76,798,nan,15
3/5/2025 8:23:21,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,3,3,0,5,0,nan,nan,483,nan
3/5/2025 8:23:37,1.17.0,certainty,4,4.19,1,1,Pellet,LeftANDRight,3,3,0,6,0,0.48,33,nan,15
3/5/2025 9:41:37,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,3,4,0,6,0,nan,nan,327,nan
3/5/2025 9:42:15,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,3,4,0,7,0,22.65,4718,nan,15
3/5/2025 9:42:32,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,3,5,0,7,0,nan,nan,381,nan
3/5/2025 9:42:49,1.17.0,certainty,4,4.19,1,1,Pellet,LeftANDRight,3,5,0,8,0,0.61,34,nan,15
3/5/2025 9:43:42,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,3,6,0,8,0,nan,nan,445,nan
3/5/2025 9:44:40,1.17.0,certainty,4,4.19,1,1,Pellet,LeftANDRight,3,6,0,9,0,42.07,111,nan,15
3/5/2025 9:45:02,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,3,7,0,9,0,nan,nan,569,nan
3/5/2025 9:45:19,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,3,7,0,10,0,0.48,39,nan,15
3/5/2025 9:46:55,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,3,8,0,10,0,nan,nan,468,nan
3/5/2025 9:47:12,1.17.0,certainty,4,4.19,1,1,Pellet,LeftANDRight,3,8,0,11,0,1.16,113,nan,15
3/5/2025 9:47:42,1.17.0,certainty,4,4.18,nan,1,Left,LeftANDRight,4,8,0,11,0,nan,nan,315,nan
3/5/2025 9:47:46,1.17.0,certainty,4,4.18,nan,1,RightinTimeout,LeftANDRight,4,9,0,11,0,nan,nan,0,nan
3/5/2025 9:48:00,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,4,9,0,12,0,1.52,48,nan,15
3/5/2025 9:48:10,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,4,10,0,12,0,nan,nan,188,nan
3/5/2025 9:48:35,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,4,10,0,13,0,9.01,35,nan,15
3/5/2025 9:49:45,1.17.0,certainty,4,4.19,nan,1,Left,LeftANDRight,5,10,0,13,0,nan,nan,326,nan
3/5/2025 9:50:00,1.17.0,certainty,4,4.18,nan,1,RightinTimeout,LeftANDRight,5,11,0,13,0,nan,nan,0,nan
3/5/2025 9:50:01,1.17.0,certainty,4,4.19,1,1,Pellet,LeftANDRight,5,11,0,14,0,0.36,86,nan,15
3/5/2025 9:50:16,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,5,12,0,14,0,nan,nan,410,nan
3/5/2025 9:50:16,1.17.0,certainty,4,4.18,nan,1,RightinTimeout,LeftANDRight,5,13,0,14,0,nan,nan,0,nan
3/5/2025 9:50:16,1.17.0,certainty,4,4.18,nan,1,RightinTimeout,LeftANDRight,5,13,0,14,0,nan,nan,297,nan
3/5/2025 9:50:17,1.17.0,certainty,4,4.18,nan,1,RightinTimeout,LeftANDRight,5,13,0,14,0,nan,nan,593,nan
3/5/2025 9:51:03,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,5,13,0,15,0,31.97,62,nan,15
3/5/2025 9:51:25,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,5,14,0,15,0,nan,nan,312,nan
3/5/2025 9:51:43,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,5,14,0,16,0,1.95,40,nan,15
3/5/2025 9:52:39,1.17.0,certainty,4,4.19,nan,1,Right,LeftANDRight,5,15,0,16,0,nan,nan,214,nan
3/5/2025 9:52:56,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,5,15,0,17,0,0.79,73,nan,15
3/5/2025 9:53:08,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,5,16,0,17,0,nan,nan,335,nan
3/5/2025 9:53:25,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,5,16,0,18,0,0.79,29,nan,15
3/5/2025 9:53:42,1.17.0,certainty,4,4.18,nan,1,Left,LeftANDRight,6,16,0,18,0,nan,nan,47,nan
3/5/2025 9:53:59,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,6,16,0,19,0,1.46,34,nan,15
3/5/2025 9:54:08,1.17.0,certainty,4,4.18,nan,1,Left,LeftANDRight,7,16,0,19,0,nan,nan,437,nan
3/5/2025 9:54:35,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,7,16,0,20,0,11.04,36,nan,15
3/5/2025 11:42:42,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,7,17,0,20,0,nan,nan,176,nan
3/5/2025 11:43:04,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,7,17,0,21,0,5.51,6508,nan,15
3/5/2025 11:43:45,1.17.0,certainty,4,4.18,nan,1,Left,LeftANDRight,8,17,0,21,0,nan,nan,22,nan
3/5/2025 11:44:03,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,8,17,0,22,0,1.28,60,nan,15
3/5/2025 11:44:14,1.17.0,certainty,4,4.18,nan,1,Left,LeftANDRight,9,17,0,22,0,nan,nan,219,nan
3/5/2025 11:44:16,1.17.0,certainty,4,4.18,nan,1,LeftinTimeOut,LeftANDRight,10,17,0,22,0,nan,nan,nan,nan
3/5/2025 11:44:16,1.17.0,certainty,4,4.18,nan,1,LeftinTimeOut,LeftANDRight,10,17,0,22,0,nan,nan,nan,nan
3/5/2025 11:44:16,1.17.0,certainty,4,4.18,nan,1,LeftinTimeOut,LeftANDRight,10,17,0,22,0,nan,nan,nan,nan
3/5/2025 11:44:30,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,10,17,0,23,0,0.36,27,nan,15
3/5/2025 11:44:59,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,10,18,0,23,0,nan,nan,1078,nan
3/5/2025 11:45:26,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,10,18,0,24,0,10.55,56,nan,15
3/5/2025 11:47:53,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,10,19,0,24,0,nan,nan,575,nan
3/5/2025 11:48:10,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,10,19,0,25,0,1.40,164,nan,15
3/5/2025 11:49:12,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,10,20,0,25,0,nan,nan,244,nan
3/5/2025 11:49:29,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,10,20,0,26,0,0.85,78,nan,15
3/5/2025 11:49:38,1.17.0,certainty,4,4.18,nan,1,Left,LeftANDRight,11,20,0,26,0,nan,nan,129,nan
3/5/2025 11:49:39,1.17.0,certainty,4,4.18,nan,1,LeftinTimeOut,LeftANDRight,12,20,0,26,0,nan,nan,nan,nan
3/5/2025 11:49:40,1.17.0,certainty,4,4.18,nan,1,LeftinTimeOut,LeftANDRight,12,20,0,26,0,nan,nan,nan,nan
3/5/2025 11:49:55,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,12,20,0,27,0,1.16,27,nan,15
3/5/2025 11:59:20,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,12,21,0,27,0,nan,nan,358,nan
3/5/2025 11:59:37,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,12,21,0,28,0,1.58,582,nan,15
3/5/2025 11:59:49,1.17.0,certainty,4,4.18,nan,1,Right,LeftANDRight,12,22,0,28,0,nan,nan,258,nan
3/5/2025 11:59:50,1.17.0,certainty,4,4.18,nan,1,RightinTimeout,LeftANDRight,12,23,0,28,0,nan,nan,0,nan
3/5/2025 11:59:50,1.17.0,certainty,4,4.18,nan,1,RightinTimeout,LeftANDRight,12,23,0,28,0,nan,nan,299,nan
3/5/2025 12:00:05,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,12,23,0,29,0,0.06,28,nan,15
3/5/2025 15:15:31,1.17.0,certainty,4,4.17,nan,1,Left,LeftANDRight,13,23,0,29,0,nan,nan,115,nan
3/5/2025 15:15:47,1.17.0,certainty,4,4.17,1,1,Pellet,LeftANDRight,13,23,0,30,0,0.48,11742,nan,15
3/5/2025 15:17:04,1.17.0,certainty,4,4.17,nan,1,Right,LeftANDRight,13,24,0,30,0,nan,nan,51,nan
3/5/2025 15:17:27,1.17.0,certainty,4,4.17,1,1,Pellet,LeftANDRight,13,24,0,31,0,7.54,100,nan,15
3/5/2025 15:17:41,1.17.0,certainty,4,4.18,nan,1,Left,LeftANDRight,14,24,0,31,0,nan,nan,531,nan
3/5/2025 15:17:58,1.17.0,certainty,4,4.18,1,1,Pellet,LeftANDRight,14,24,0,32,0,0.42,31,nan,15
3/5/2025 15:18:13,1.17.0,certainty,4,4.17,nan,1,Right,LeftANDRight,14,25,0,32,0,nan,nan,360,nan
3/5/2025 15:18:30,1.17.0,certainty,4,4.17,1,1,Pellet,LeftANDRight,14,25,0,33,0,0.91,32,nan,15
3/5/2025 15:21:14,1.17.0,certainty,4,4.17,nan,1,Right,LeftANDRight,14,26,0,33,0,nan,nan,179,nan
3/5/2025 15:21:33,1.17.0,certainty,4,4.17,1,1,Pellet,LeftANDRight,14,26,0,34,0,2.81,183,nan,15
3/5/2025 15:22:05,1.17.0,certainty,4,4.17,nan,1,Right,LeftANDRight,14,27,0,34,0,nan,nan,359,nan
3/5/2025 15:22:28,1.17.0,certainty,4,4.17,1,1,Pellet,LeftANDRight,14,27,0,35,0,6.99,55,nan,15
3/5/2025 18:25:37,1.17.0,certainty,4,4.16,nan,1,Right,LeftANDRight,14,28,0,35,0,nan,nan,170,nan
3/5/2025 18:25:38,1.17.0,certainty,4,4.16,nan,1,RightinTimeout,LeftANDRight,14,29,0,35,0,nan,nan,0,nan
3/5/2025 18:25:55,1.17.0,certainty,4,4.16,1,1,Pellet,LeftANDRight,14,29,0,36,0,2.08,11007,nan,15
3/5/2025 18:26:19,1.17.0,certainty,4,4.16,nan,1,Right,LeftANDRight,14,30,0,36,0,nan,nan,312,nan
3/5/2025 18:26:36,1.17.0,certainty,4,4.16,1,1,Pellet,LeftANDRight,14,30,0,37,0,0.79,41,nan,15
3/5/2025 18:27:33,1.17.0,certainty,4,4.16,nan,1,Right,LeftANDRight,14,31,0,37,0,nan,nan,322,nan
3/5/2025 18:27:33,1.17.0,certainty,4,4.16,nan,1,RightinTimeout,LeftANDRight,14,32,0,37,0,nan,nan,0,nan
3/5/2025 18:27:34,1.17.0,certainty,4,4.16,nan,1,RightinTimeout,LeftANDRight,14,32,0,37,0,nan,nan,300,nan
3/5/2025 18:27:34,1.17.0,certainty,4,4.16,nan,1,RightinTimeout,LeftANDRight,14,32,0,37,0,nan,nan,596,nan
3/5/2025 18:27:49,1.17.0,certainty,4,4.16,1,1,Pellet,LeftANDRight,14,32,0,38,0,0.55,73,nan,15
3/5/2025 18:28:27,1.17.0,certainty,4,4.16,nan,1,Right,LeftANDRight,14,33,0,38,0,nan,nan,140,nan
3/5/2025 18:28:44,1.17.0,certainty,4,4.16,1,1,Pellet,LeftANDRight,14,33,0,39,0,0.73,55,nan,15
3/5/2025 18:29:29,1.17.0,certainty,4,4.16,nan,1,Right,LeftANDRight,14,34,0,39,0,nan,nan,238,nan
