MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/18/2025 22:05:49,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,51,0,45,0,nan,nan,11
2/18/2025 22:09:50,1.17.0,baseline,1,3.65,nan,1,RightWithPellet,LeftANDRight,0,52,0,45,0,nan,nan,189
2/18/2025 22:09:52,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,52,0,46,0,Timed_out,1682,nan
2/18/2025 22:25:56,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,53,0,46,0,nan,nan,192
2/18/2025 22:26:00,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,53,0,47,0,1.34,968,nan
2/18/2025 22:34:45,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,54,0,47,0,nan,nan,374
2/18/2025 22:34:47,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,54,0,48,0,0.06,527,nan
2/18/2025 22:34:57,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,55,0,48,0,nan,nan,296
2/18/2025 22:35:01,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,55,0,49,0,1.59,14,nan
2/18/2025 22:35:11,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,56,0,49,0,nan,nan,367
2/18/2025 22:35:14,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,56,0,50,0,0.85,13,nan
2/18/2025 22:35:22,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,57,0,50,0,nan,nan,145
2/18/2025 22:35:25,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,57,0,51,0,1.34,11,nan
2/18/2025 22:35:41,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,58,0,51,0,nan,nan,13
2/18/2025 22:35:43,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,58,0,52,0,0.79,18,nan
2/18/2025 22:36:02,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,59,0,52,0,nan,nan,0
2/18/2025 22:36:05,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,59,0,53,0,0.97,22,nan
2/18/2025 22:54:32,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,60,0,53,0,nan,nan,173
2/18/2025 22:54:35,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,60,0,54,0,0.55,1110,nan
2/18/2025 22:54:48,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,61,0,54,0,nan,nan,182
2/18/2025 22:54:51,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,61,0,55,0,1.34,16,nan
2/18/2025 23:13:17,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,62,0,55,0,nan,nan,164
2/18/2025 23:13:21,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,62,0,56,0,1.65,1110,nan
2/18/2025 23:13:37,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,63,0,56,0,nan,nan,120
2/18/2025 23:13:41,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,63,0,57,0,1.28,20,nan
2/18/2025 23:13:51,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,64,0,57,0,nan,nan,8
2/18/2025 23:13:55,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,64,0,58,0,1.22,14,nan
2/18/2025 23:14:04,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,65,0,58,0,nan,nan,176
2/18/2025 23:14:08,1.17.0,baseline,1,3.65,2,1,Pellet,LeftANDRight,0,65,0,59,0,1.10,13,nan
2/18/2025 23:14:23,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,66,0,59,0,nan,nan,241
2/18/2025 23:14:26,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,66,0,60,0,1.28,18,nan
2/18/2025 23:14:34,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,67,0,60,0,nan,nan,42
2/18/2025 23:14:37,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,67,0,61,0,1.03,11,nan
2/18/2025 23:28:19,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,68,0,61,0,nan,nan,58
2/18/2025 23:28:22,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,68,0,62,0,0.91,825,nan
2/18/2025 23:29:15,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,69,0,62,0,nan,nan,241
2/18/2025 23:29:18,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,69,0,63,0,0.67,56,nan
2/18/2025 23:30:48,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,70,0,63,0,nan,nan,568
2/18/2025 23:30:50,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,70,0,64,0,0.79,92,nan
2/18/2025 23:31:03,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,71,0,64,0,nan,nan,408
2/18/2025 23:31:06,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,71,0,65,0,0.55,16,nan
2/18/2025 23:31:15,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,72,0,65,0,nan,nan,176
2/18/2025 23:31:17,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,72,0,66,0,0.06,11,nan
2/18/2025 23:57:25,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,73,0,66,0,nan,nan,24
2/18/2025 23:57:34,1.17.0,baseline,1,3.65,2,1,Pellet,LeftANDRight,0,73,0,67,0,5.64,1577,nan
2/19/2025 0:11:51,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,74,0,67,0,nan,nan,318
2/19/2025 0:11:53,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,74,0,68,0,0.06,859,nan
2/19/2025 0:23:10,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,75,0,68,0,nan,nan,521
2/19/2025 0:23:12,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,75,0,69,0,0.48,679,nan
2/19/2025 0:23:19,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,76,0,69,0,nan,nan,0
2/19/2025 0:23:22,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,76,0,70,0,0.79,10,nan
2/19/2025 0:23:30,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,77,0,70,0,nan,nan,199
2/19/2025 0:23:32,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,77,0,71,0,0.06,10,nan
2/19/2025 0:23:44,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,78,0,71,0,nan,nan,203
2/19/2025 0:23:48,1.17.0,baseline,1,3.65,2,1,Pellet,LeftANDRight,0,78,0,72,0,1.22,16,nan
2/19/2025 0:24:06,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,79,0,72,0,nan,nan,273
2/19/2025 0:24:10,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,79,0,73,0,1.95,22,nan
2/19/2025 0:33:05,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,80,0,73,0,nan,nan,63
2/19/2025 0:33:08,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,80,0,74,0,0.85,538,nan
2/19/2025 0:33:16,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,81,0,74,0,nan,nan,156
2/19/2025 0:33:19,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,81,0,75,0,1.16,11,nan
2/19/2025 0:33:31,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,82,0,75,0,nan,nan,204
2/19/2025 0:33:33,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,82,0,76,0,0.06,14,nan
2/19/2025 0:33:40,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,83,0,76,0,nan,nan,439
2/19/2025 0:33:43,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,83,0,77,0,0.97,10,nan
2/19/2025 0:34:02,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,84,0,77,0,nan,nan,0
2/19/2025 0:34:04,1.17.0,baseline,1,3.64,2,1,Pellet,LeftANDRight,0,84,0,78,0,0.55,21,nan
2/19/2025 0:54:12,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,85,0,78,0,nan,nan,582
2/19/2025 0:54:13,1.17.0,baseline,1,3.65,nan,1,RightinTimeout,LeftANDRight,0,86,0,78,0,nan,nan,0
2/19/2025 0:54:16,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,86,0,79,0,1.28,1212,nan
2/19/2025 0:54:24,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,87,0,79,0,nan,nan,19
2/19/2025 0:54:27,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,87,0,80,0,0.30,11,nan
2/19/2025 0:54:38,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,88,0,80,0,nan,nan,141
