MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
2/23/2025 12:52:19,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,556,nan
2/23/2025 12:53:15,1.17.0,uncertainty,1,3.76,4,1,Pellet,LeftANDRight,0,1,0,1,0,2.69,nan,nan,48
2/23/2025 12:54:09,1.17.0,uncertainty,1,3.75,nan,1,Left,LeftANDRight,1,1,0,1,0,nan,nan,14,nan
2/23/2025 12:54:20,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,1,2,0,1,0,nan,nan,0,nan
2/23/2025 12:54:21,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,1,2,0,1,0,nan,nan,298,nan
2/23/2025 12:55:30,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,1,3,0,1,0,nan,nan,0,nan
2/23/2025 12:56:22,1.17.0,uncertainty,1,3.76,nan,1,LeftinTimeOut,LeftANDRight,2,3,0,1,0,nan,nan,nan,nan
2/23/2025 12:56:22,1.17.0,uncertainty,1,3.76,nan,1,LeftinTimeOut,LeftANDRight,2,3,0,1,0,nan,nan,nan,nan
2/23/2025 12:56:23,1.17.0,uncertainty,1,3.76,nan,1,LeftinTimeOut,LeftANDRight,2,3,0,1,0,nan,nan,nan,nan
2/23/2025 12:56:34,1.17.0,uncertainty,1,3.76,2,1,Pellet,LeftANDRight,2,3,0,2,0,0.91,199,nan,143
2/23/2025 12:56:46,1.17.0,uncertainty,1,3.76,nan,1,Left,LeftANDRight,3,3,0,2,0,nan,nan,250,nan
2/23/2025 12:56:48,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,3,4,0,2,0,nan,nan,0,nan
2/23/2025 12:56:48,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,3,4,0,2,0,nan,nan,298,nan
2/23/2025 12:56:50,1.17.0,uncertainty,1,3.76,2,1,Pellet,LeftANDRight,3,4,0,3,0,0.73,16,nan,2
2/23/2025 12:57:18,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,3,5,0,3,0,nan,nan,49,nan
2/23/2025 12:57:19,1.17.0,uncertainty,1,3.76,nan,1,RightDuringDispense,LeftANDRight,3,6,0,3,0,nan,nan,473,nan
2/23/2025 12:57:22,1.17.0,uncertainty,1,3.76,2,1,Pellet,LeftANDRight,3,6,0,4,0,0.48,32,nan,0
2/23/2025 12:57:46,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,3,7,0,4,0,nan,nan,7,nan
2/23/2025 12:57:53,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,3,7,0,5,0,2.50,31,nan,4
2/23/2025 12:59:52,1.17.0,uncertainty,1,3.76,nan,1,Left,LeftANDRight,4,7,0,5,0,nan,nan,393,nan
2/23/2025 12:59:53,1.17.0,uncertainty,1,3.75,1,1,Pellet,LeftANDRight,4,7,0,6,0,0.85,120,nan,0
2/23/2025 13:00:06,1.17.0,uncertainty,1,3.76,nan,1,Left,LeftANDRight,5,7,0,6,0,nan,nan,0,nan
2/23/2025 13:00:07,1.17.0,uncertainty,1,3.76,nan,1,LeftinTimeOut,LeftANDRight,6,7,0,6,0,nan,nan,nan,nan
2/23/2025 13:00:07,1.17.0,uncertainty,1,3.76,nan,1,LeftinTimeOut,LeftANDRight,6,7,0,6,0,nan,nan,nan,nan
2/23/2025 13:00:49,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,6,7,0,7,0,19.96,56,nan,22
2/23/2025 13:01:34,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,6,8,0,7,0,nan,nan,55,nan
2/23/2025 13:01:35,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,6,9,0,7,0,nan,nan,0,nan
2/23/2025 13:02:13,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,6,9,0,8,0,2.01,84,nan,36
2/23/2025 13:03:00,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,6,10,0,8,0,nan,nan,269,nan
2/23/2025 13:03:01,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,6,10,0,9,0,0.61,48,nan,0
2/23/2025 13:03:30,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,6,11,0,9,0,nan,nan,373,nan
2/23/2025 13:03:32,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,6,11,0,10,0,0.91,31,nan,0
2/23/2025 13:46:02,1.17.0,uncertainty,1,3.76,nan,1,Left,LeftANDRight,7,11,0,10,0,nan,nan,745,nan
2/23/2025 13:46:21,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,7,11,0,11,0,4.53,2569,nan,13
2/23/2025 13:48:34,1.17.0,uncertainty,1,3.76,nan,1,Left,LeftANDRight,8,11,0,11,0,nan,nan,316,nan
2/23/2025 13:48:36,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,8,11,0,12,0,0.36,135,nan,0
2/23/2025 14:58:25,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,8,12,0,12,0,nan,nan,43,nan
2/23/2025 14:58:26,1.17.0,uncertainty,1,3.75,2,1,Pellet,LeftANDRight,8,12,0,13,0,0.97,4190,nan,0
2/23/2025 14:58:41,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,8,13,0,13,0,nan,nan,97,nan
2/23/2025 14:58:43,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,8,14,0,13,0,nan,nan,0,nan
2/23/2025 14:58:45,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,8,14,0,14,0,0.42,19,nan,3
2/23/2025 14:59:00,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,8,15,0,14,0,nan,nan,338,nan
2/23/2025 14:59:10,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,8,16,0,14,0,nan,nan,0,nan
2/23/2025 14:59:10,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,8,16,0,14,0,nan,nan,299,nan
2/23/2025 14:59:31,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,8,16,0,15,0,0.73,46,nan,29
2/23/2025 14:59:43,1.17.0,uncertainty,1,3.76,nan,1,Left,LeftANDRight,9,16,0,15,0,nan,nan,58,nan
2/23/2025 14:59:45,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,9,16,0,16,0,0.97,14,nan,0
2/23/2025 15:00:01,1.17.0,uncertainty,1,3.76,nan,1,Right,LeftANDRight,9,17,0,16,0,nan,nan,394,nan
2/23/2025 15:00:05,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,9,17,0,17,0,0.79,20,nan,3
2/23/2025 15:00:17,1.17.0,uncertainty,1,3.76,nan,1,Left,LeftANDRight,10,17,0,17,0,nan,nan,278,nan
2/23/2025 15:00:19,1.17.0,uncertainty,1,3.75,nan,1,LeftinTimeOut,LeftANDRight,11,17,0,17,0,nan,nan,nan,nan
2/23/2025 15:00:36,1.17.0,uncertainty,1,3.75,1,1,Pellet,LeftANDRight,11,17,0,18,0,0.67,31,nan,18
2/23/2025 16:40:19,1.17.0,uncertainty,1,3.75,nan,1,Right,LeftANDRight,11,18,0,18,0,nan,nan,112,nan
2/23/2025 16:41:07,1.17.0,uncertainty,1,3.76,1,1,Pellet,LeftANDRight,11,18,0,19,0,2.26,6031,nan,45
2/23/2025 16:41:22,1.17.0,uncertainty,1,3.75,nan,1,Left,LeftANDRight,12,18,0,19,0,nan,nan,284,nan
2/23/2025 16:41:50,1.17.0,uncertainty,1,3.74,nan,1,LeftinTimeOut,LeftANDRight,13,18,0,19,0,nan,nan,nan,nan
2/23/2025 16:41:50,1.17.0,uncertainty,1,3.75,nan,1,LeftinTimeOut,LeftANDRight,13,18,0,19,0,nan,nan,nan,nan
2/23/2025 16:41:59,1.17.0,uncertainty,1,3.76,nan,1,RightinTimeout,LeftANDRight,13,19,0,19,0,nan,nan,0,nan
