"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"20(1,D3)","Unknown2","49394.57031","3552.3645","71558.70312","25247.58398","3215.43335","51316.48047","51495.95312","293451.875","3194.30469","6368.22412","14341.14844","14228.7998","415657.78125","9303.39355","3549.20508","1179"
"21(1,E3)","Unknown3","46944.10547","3496.59766","16723.99609","10661.71777","3536.69653","3792.08618","53888.99609","155577.8125","3114.55713","4727.61328","11117.46582","5786.76807","246165.95312","6839.73291","3838.0105","1181"
"22(1,F3)","Unknown4","60899.10156","3600.948","88142.88281","18061.57031","3889.39551","17075.78906","51644.75781","245050.1875","3154.97778","5982.05908","11843.67871","12854.28613","312949.875","7609.16064","4123.51318","1080"
"23(1,G3)","Unknown5","58493.51172","4406.26416","40196.10547","18722.82422","3096.96655","29810.36328","89267.57812","137211.71875","2901.83984","5599.21094","12069.64062","14271.91504","415903.0625","7843.29248","3550.04858","991"
"24(1,H3)","Unknown6","61523.66016","4808.28271","82504.78906","14996.17578","4819.01855","40360.39453","121759.73438","286907.5","3108.70312","5206.43457","11909.92383","17499.7207","465729.28125","7209.92285","4303.92969","966"
"25(1,A4)","Control1","47381.96875","41213.08203","26749.88477","85774.67188","43858.67578","480592.875","232270.67188","97102.92188","30973.85352","116762.67969","36671.73047","60832.04297","116713.6875","33640.89844","87519.57812","1181"
"26(1,B4)","Control2","138640.5","148993.15625","84650.67188","368561.90625","132121.10938","1262919.5","559774.375","190929.40625","177279.39062","217787.5","137283.71875","315133.40625","307761.125","96396.01562","306417.65625","1035"
"27(1,C4)","Unknown1","29671.02344","3522.84424","52363.64453","10257.3623","3483.50293","22239.33594","46085.3125","244302.32812","2861.09033","4919.05859","10785.9248","7665.35645","207392.09375","6215.06152","3177.76465","1203"
"28(1,D4)","Unknown2","26476.62695","3402.61157","34046.5625","11241.72266","3079.66895","18993.41016","33187.64844","220262.01562","3092.96387","5027.86182","10887.7373","8508.27734","301761.5625","6982.11621","3267.6333","1007"
"29(1,E4)","Unknown3","69108.21875","4409.9668","19150.61719","11717.90625","3498.81348","3754.9248","81777.21875","171745.75","3084.82959","4723.48193","11238.60645","5571.37744","405893.84375","9024.55957","4094.75757","1314"
