"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"19(1,C3)","Unknown1","126","50","106","83","76","80","91","76","97","102","129","76","78","80","85","1335"
"20(1,D3)","Unknown2","108","59","76","67","64","80","99","51","97","81","115","77","69","64","72","1179"
"21(1,E3)","Unknown3","125","54","90","68","83","58","69","51","120","86","93","69","61","92","62","1181"
"22(1,F3)","Unknown4","98","56","69","50","59","72","69","68","101","66","86","65","70","69","82","1080"
"23(1,G3)","Unknown5","93","51","58","70","60","54","74","52","94","66","70","50","53","79","67","991"
"24(1,H3)","Unknown6","78","51","68","72","67","68","55","51","95","60","75","52","58","64","52","966"
"25(1,A4)","Control1","94","68","91","63","79","59","102","50","82","88","104","91","69","77","64","1181"
"26(1,B4)","Control2","81","50","85","59","67","56","65","50","89","63","108","51","69","75","67","1035"
"27(1,C4)","Unknown1","118","50","84","67","76","78","88","61","104","83","107","75","64","77","71","1203"
"28(1,D4)","Unknown2","93","50","80","53","65","66","78","50","63","71","89","63","55","65","66","1007"
"29(1,E4)","Unknown3","131","50","105","90","88","84","102","72","113","86","97","71","76","85","64","1314"
"30(1,F4)","Unknown4","101","50","80","67","88","76","93","68","84","76","90","70","70","95","72","1180"
"31(1,G4)","Unknown5","91","50","68","54","67","62","73","57","89","58","76","65","56","70","60","996"
"32(1,H4)","Unknown6","89","59","70","62","72","73","92","50","80","78","75","74","61","79","54","1068"
"33(1,A5)","Unknown7","85","50","75","57","66","66","86","50","69","56","76","50","54","66","67","973"
"34(1,B5)","Unknown8","102","51","82","67","81","71","88","61","94","61","101","76","70","75","75","1155"
"35(1,C5)","Unknown9","97","66","89","64","76","69","78","50","84","62","99","82","67","69","55","1107"
"36(1,D5)","Unknown10","132","54","87","53","74","66","87","61","79","68","108","72","50","56","69","1116"
"37(1,E5)","Unknown11","78","60","67","61","79","66","84","69","80","72","73","62","50","66","55","1022"
"38(1,F5)","Unknown12","98","51","72","58","67","52","81","50","75","73","85","70","56","58","67","1013"
"39(1,G5)","Unknown13","115","50","93","91","80","75","94","53","135","81","102","71","69","112","76","1297"
"40(1,H5)","Unknown14","110","50","95","76","76","84","89","68","85","78","105","67","60","84","69","1196"
"41(1,A6)","Unknown7","121","62","108","58","69","56","119","50","105","108","111","86","83","87","80","1303"
"42(1,B6)","Unknown8","112","50","77","62","89","74","96","62","85","80","112","73","53","68","59","1152"
"43(1,C6)","Unknown9","111","61","67","77","75","69","87","60","85","68","107","69","50","64","89","1139"
"44(1,D6)","Unknown10","116","70","64","76","88","80","90","50","94","80","115","74","59","72","77","1205"
"45(1,E6)","Unknown11","92","55","67","55","68","50","70","70","84","71","72","58","50","73","61","996"
"46(1,F6)","Unknown12","99","54","82","64","65","80","86","50","95","78","77","85","68","60","74","1117"
"47(1,G6)","Unknown13","122","50","89","71","81","63","79","64","86","93","91","67","73","72","80","1181"
"48(1,H6)","Unknown14","67","52","69","51","55","58","75","54","91","68","94","59","50","58","51","952"
"49(1,A7)","Unknown15","73","23","44","52","49","45","38","34","85","53","43","48","36","52","33","708"
"50(1,B7)","Unknown16","98","57","69","78","50","67","70","64","72","55","80","69","62","61","54","1006"
"51(1,C7)","Unknown17","90","80","81","54","71","50","87","56","93","77","106","71","59","83","69","1127"
"52(1,D7)","Unknown18","87","54","81","57","58","63","94","60","68","50","110","72","62","57","78","1051"
"53(1,E7)","Unknown19","125","57","75","66","60","63","89","50","74","89","93","57","61","76","66","1101"
"54(1,F7)","Unknown20","105","50","87","64","78","65","70","53","85","71","75","68","70","69","65","1075"
"55(1,G7)","Unknown21","115","50","89","77","93","82","88","59","80","86","105","73","77","83","79","1236"
"56(1,H7)","Unknown22","89","64","65","68","62","63","74","62","73","81","109","50","50","60","61","1031"
"57(1,A8)","Unknown15","93","50","80","82","85","66","70","59","86","64","100","60","77","53","66","1091"
"58(1,B8)","Unknown16","104","51","64","64","70","54","65","58","84","73","110","50","66","71","73","1057"
"59(1,C8)","Unknown17","99","51","66","56","67","75","82","58","88","74","95","55","68","65","70","1069"
"60(1,D8)","Unknown18","94","51","83","65","69","66","87","51","91","76","119","52","65","75","76","1120"
"61(1,E8)","Unknown19","95","50","82","63","64","60","81","73","83","63","89","64","55","76","65","1063"
"62(1,F8)","Unknown20","95","53","74","70","74","68","94","50","90","65","79","74","66","71","78","1101"
"63(1,G8)","Unknown21","100","68","83","67","73","50","75","51","64","74","107","62","77","61","72","1084"
"64(1,H8)","Unknown22","97","56","84","75","62","67","91","64","86","67","98","57","50","74","64","1092"
"65(1,A9)","Unknown23","110","50","73","72","92","73","76","68","140","72","76","68","72","92","74","1208"
"66(1,B9)","Unknown24","93","60","65","60","77","69","96","51","100","64","119","58","50","66","62","1090"
"67(1,C9)","Unknown25","93","51","72","63","70","57","84","56","84","60","79","68","50","71","60","1018"
"68(1,D9)","Unknown26","74","54","58","51","52","72","60","50","72","68","103","64","70","61","65","974"
"69(1,E9)","Unknown27","123","43","61","80","65","65","73","61","120","60","67","77","74","79","63","1111"
"70(1,F9)","Unknown28","91","54","62","59","75","50","71","53","65","56","101","68","50","61","55","971"
"71(1,G9)","Unknown29","116","50","82","86","81","69","62","70","105","63","106","85","74","78","88","1215"
"72(1,H9)","Unknown30","77","50","88","58","60","56","76","53","88","61","87","69","50","72","57","1002"
"73(1,A10)","Unknown23","76","47","80","69","82","62","60","78","101","60","64","57","53","86","59","1034"
"74(1,B10)","Unknown24","85","53","55","63","59","64","67","51","80","60","91","67","50","73","59","977"
"75(1,C10)","Unknown25","110","50","75","59","79","80","97","63","89","66","94","67","58","75","83","1145"
"76(1,D10)","Unknown26","91","59","74","72","63","70","78","53","72","73","108","51","57","59","50","1030"
"77(1,E10)","Unknown27","107","46","68","72","78","68","54","59","115","73","103","55","86","72","64","1120"
"78(1,F10)","Unknown28","120","49","83","79","73","70","92","55","103","72","100","71","67","76","64","1174"
"79(1,G10)","Unknown29","102","50","72","59","78","53","79","50","93","72","93","66","73","76","57","1073"
"80(1,H10)","Unknown30","107","54","77","67","76","79","96","65","83","50","91","54","52","71","74","1096"
"81(1,A11)","Unknown31","117","65","108","86","88","74","98","50","123","82","116","86","70","85","90","1338"
"82(1,B11)","Unknown32","104","56","80","62","70","58","76","53","77","67","84","61","59","66","50","1023"
"83(1,C11)","Unknown33","108","50","70","77","76","61","85","64","85","80","98","74","63","82","76","1149"
"84(1,D11)","Unknown34","114","62","77","68","73","78","98","50","94","65","111","75","64","87","85","1201"
"85(1,E11)","Unknown35","97","60","68","59","74","72","79","50","71","63","85","70","57","70","54","1029"
"86(1,F11)","Unknown36","104","52","97","69","76","85","84","55","90","78","107","65","56","91","75","1184"
"87(1,G11)","Unknown37","108","50","93","66","71","60","92","62","102","75","107","66","62","68","73","1155"
"88(1,H11)","Unknown38","44","27","22","37","28","22","19","19","42","26","20","21","25","28","26","406"
"89(1,A12)","Unknown31","93","50","65","73","58","53","73","62","92","80","72","63","59","79","60","1032"
"90(1,B12)","Unknown32","130","50","91","69","91","93","109","64","118","97","108","72","69","89","82","1332"
"91(1,C12)","Unknown33","71","54","60","52","63","51","64","50","70","60","87","50","52","56","53","893"
"92(1,D12)","Unknown34","74","62","65","61","50","71","72","53","78","73","105","62","62","81","60","1029"
"93(1,E12)","Unknown35","119","50","74","55","79","73","96","52","82","69","96","72","73","73","70","1133"
"94(1,F12)","Unknown36","93","51","60","54","61","86","95","50","82","84","107","63","55","67","82","1090"
"95(1,G12)","Unknown37","94","53","91","74","82","68","100","50","101","69","109","66","64","79","70","1170"
"96(1,H12)","Unknown38","112","54","60","71","76","61","51","56","96","67","76","64","50","60","61","1015"


"DataType:","%CV"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"1(1,A1)","Standard1","45.17731","58.78357","33.96484","43.47483","71.59674","93.91178","28.07586","53.67738","46.26344","50.09966","33.33849","50.04007","59.10431","66.3711","39.94188","1168"
"2(1,B1)","Standard2","38.24313","69.62662","30.74346","96.02865","43.1673","45.87549","38.23452","59.43255","48.6601","51.92546","35.44406","60.11869","92.15094","62.20383","38.08448","1061"
"3(1,C1)","Standard3","41.26044","64.85273","40.78623","63.03241","47.93801","160.96094","32.60354","62.23968","64.50092","52.83983","31.89793","43.4452","38.0384","52.2964","47.65361","1075"
"4(1,D1)","Standard4","44.44438","66.11784","37.00408","36.82029","53.36382","52.53881","40.97889","60.36404","44.27504","39.99863","18.74013","43.03402","60.40383","51.56845","54.94655","1158"
"5(1,E1)","Standard5","52.95248","63.19718","28.43908","55.35021","57.06943","294.8244","38.07606","61.48007","49.39709","38.97444","30.16792","37.4266","45.87935","56.65861","46.66537","1018"
"6(1,F1)","Standard6","29.25655","70.11737","33.46638","129.438","22.97223","62.50647","26.60458","49.11895","48.60873","25.39126","28.0007","31.55812","43.81007","41.22932","21.64656","1002"
"7(1,G1)","Standard7","42.01465","32.0544","28.41737","23.16952","25.92376","29.06605","103.97492","32.83462","41.38985","21.22976","150.07828","27.30919","39.23443","37.91515","32.38971","1264"
"8(1,H1)","Background0","41.40444","43.01405","38.88283","32.32621","42.90728","27.78618","105.52162","43.50618","39.98708","42.12061","93.68474","26.36665","42.38526","73.26238","48.84225","1152"
"9(1,A2)","Standard1","38.93822","54.59424","34.46872","39.19543","34.56081","53.30006","31.70405","49.04241","44.96553","43.30288","42.88054","51.31445","54.73644","61.04148","40.64701","1126"
"10(1,B2)","Standard2","39.13494","68.8411","39.16764","52.14952","41.8124","50.22185","34.55773","53.34776","53.65786","43.30235","23.90602","45.28475","48.73025","53.78184","50.81708","1103"
"11(1,C2)","Standard3","43.35516","81.72635","46.57725","43.85839","42.36147","43.87815","35.93503","56.06622","39.68186","41.59166","31.68725","58.48908","53.85585","77.80399","37.5055","1070"
"12(1,D2)","Standard4","49.35776","68.5729","38.73542","52.98394","45.98835","47.83491","30.96069","76.09667","43.29881","43.03276","19.8831","59.53651","48.7102","60.4807","47.72693","1061"
"13(1,E2)","Standard5","44.88746","94.34172","26.08917","26.47599","26.18798","51.64075","32.08795","54.57929","24.65436","38.4581","19.03626","51.21364","44.54563","45.88182","74.06225","1257"
"14(1,F2)","Standard6","26.64498","57.43172","27.7493","28.07063","29.56159","33.87377","64.23297","42.22673","30.46207","23.94254","79.71485","27.12586","49.45579","49.51916","33.71686","1034"
"15(1,G2)","Standard7","35.2904","41.75655","30.72567","19.53448","20.10256","31.52055","44.83321","28.06548","29.80574","24.26277","25.44795","25.01812","44.13478","44.64145","57.58239","962"
"16(1,H2)","Background0","39.11829","63.71014","43.84226","21.92322","49.18591","59.66","159.73807","30.59251","45.25761","104.06076","140.3192","31.61676","44.34875","36.9687","50.927","1216"
"17(1,A3)","Control1","46.95349","65.61127","34.9924","50.83064","48.14812","72.02802","46.35138","61.24953","33.81533","66.25188","36.07786","49.84967","59.08296","765.77924","40.70006","957"
"18(1,B3)","Control2","39.84197","65.96378","41.6373","58.83118","44.52308","57.80891","37.26676","61.36355","51.35527","55.79891","30.67377","56.88673","67.95565","60.97366","54.61018","1143"
"19(1,C3)","Unknown1","51.86707","424.86478","48.43923","31.97531","148.38824","51.53197","39.16541","66.84481","313.29944","37.76597","24.6882","36.91391","66.68855","38.84692","429.46194","1335"
"20(1,D3)","Unknown2","49.05967","52.54506","37.84571","36.41679","51.85955","40.95327","41.4964","58.38963","48.29413","37.32262","34.12999","33.81582","64.83721","50.35945","50.9479","1179"
"21(1,E3)","Unknown3","61.70044","65.07655","51.34576","32.35793","111.91985","123.23668","54.34914","72.99052","127.57746","51.35942","48.47753","43.7042","66.06004","56.3053","76.06377","1181"
"22(1,F3)","Unknown4","63.89764","44.77537","45.17164","45.27727","58.04646","47.15608","51.59467","73.68461","47.51956","30.22181","84.13899","57.3589","78.31219","52.94132","59.55351","1080"
"23(1,G3)","Unknown5","45.06047","130.63773","42.69554","28.56904","88.79139","55.25765","47.99721","81.40221","43.9875","52.09019","38.08145","46.24252","56.22001","72.63295","62.80895","991"
"24(1,H3)","Unknown6","51.92834","108.38645","29.05093","311.76102","48.96372","47.47005","34.3832","83.62911","48.54845","48.42917","51.80933","97.6802","56.51027","68.59446","38.54069","966"
"25(1,A4)","Control1","41.54748","76.88293","46.93381","48.13481","51.06421","57.89509","32.40111","254.51122","51.01721","41.94331","23.26793","38.6372","48.92152","47.08032","44.74053","1181"
"26(1,B4)","Control2","47.20083","81.2002","44.00075","46.60564","51.97555","75.22576","37.77602","71.11134","53.46872","56.47838","48.98247","58.35401","54.75207","57.51607","49.761","1035"
"27(1,C4)","Unknown1","67.37248","42.83605","42.00281","28.05392","61.82172","48.11301","129.8186","65.11576","88.41308","325.18524","71.73933","342.22253","68.57282","44.30607","39.46446","1203"
"28(1,D4)","Unknown2","50.75534","39.84195","37.5285","28.01766","40.23434","47.8048","29.6884","69.23372","66.12078","40.28356","30.966","27.61007","54.61517","53.06224","66.67817","1007"
"29(1,E4)","Unknown3","62.5496","69.01429","44.95378","30.08851","124.36218","72.45862","44.48233","66.61193","76.12072","128.53603","44.11813","60.72792","50.10703","52.45589","83.54886","1314"
"30(1,F4)","Unknown4","51.39847","88.26367","59.62459","32.86629","53.662","43.05542","50.57117","75.16015","44.33749","45.31355","39.38107","48.92241","64.23483","48.31317","58.72818","1180"
"31(1,G4)","Unknown5","51.92197","70.41878","39.72344","35.30847","45.75423","55.69128","47.56999","69.56306","47.12076","62.62078","36.50828","37.7827","73.68954","123.46157","117.91471","996"
"32(1,H4)","Unknown6","53.34361","258.76636","40.82607","30.03154","52.47663","54.42449","47.91071","68.33438","40.4646","31.67665","51.82416","73.61842","66.0325","48.51345","37.74847","1068"
"33(1,A5)","Unknown7","46.0851","285.31461","33.17399","24.8019","42.76482","28.36441","38.69387","78.14501","50.42272","29.12256","61.15288","25.80699","46.60623","46.91484","41.68469","973"
"34(1,B5)","Unknown8","43.66947","48.64149","41.01478","35.47465","54.07826","73.87615","42.61385","62.93832","38.86854","59.76255","39.30862","42.92837","62.60044","56.08262","48.61302","1155"
"35(1,C5)","Unknown9","46.75078","38.20123","37.19794","27.57743","81.47573","60.09335","45.08918","67.38139","40.2907","27.83016","43.92798","45.79341","478.19351","44.64432","140.13564","1107"
"36(1,D5)","Unknown10","51.96788","31.27248","42.97825","62.46756","60.31386","64.09639","40.55653","64.37479","156.43048","50.71642","36.81111","48.80043","51.46187","54.08863","36.39189","1116"
"37(1,E5)","Unknown11","47.14564","65.71831","46.7752","34.0781","50.60794","59.23173","60.13414","70.67011","95.81795","46.00058","92.38915","183.73849","74.32767","47.8743","81.86378","1022"
"38(1,F5)","Unknown12","50.07448","55.10341","47.57135","42.89237","84.38881","52.25204","58.97468","81.0736","113.97793","314.15857","45.72821","54.49833","62.63735","69.80204","136.33267","1013"
"39(1,G5)","Unknown13","38.10201","47.47975","39.99909","44.39999","33.19689","52.39802","40.49063","65.92899","82.46723","49.84508","171.91776","39.11438","49.3231","47.08256","49.72487","1297"
"40(1,H5)","Unknown14","44.41508","48.86327","41.99701","29.512","46.23332","46.13046","39.75515","58.61278","62.9667","27.05578","55.99613","45.3438","58.85975","69.61769","65.03836","1196"
"41(1,A6)","Unknown7","36.74011","54.35766","29.27518","117.7168","87.84543","60.26949","35.95506","61.04195","45.52733","36.03485","138.95528","34.36056","60.69128","41.41748","62.70171","1303"
"42(1,B6)","Unknown8","42.43063","108.95149","45.48507","42.7549","36.84245","58.1985","39.91279","82.15877","48.34857","47.00014","34.26871","35.66393","63.14393","52.44192","44.20281","1152"
"43(1,C6)","Unknown9","42.88646","30.67008","23.39544","23.94411","84.7648","41.77941","36.48524","65.92715","54.19048","73.8327","57.97176","59.34678","45.64922","45.66522","52.51171","1139"
"44(1,D6)","Unknown10","46.2621","51.31915","32.23899","39.41996","39.49361","63.09472","40.64552","57.34407","53.85972","37.02426","90.60968","51.44155","55.6016","46.08575","51.42104","1205"
"45(1,E6)","Unknown11","69.12353","44.07233","33.44115","36.64308","32.5254","39.3344","58.42277","61.94244","47.14365","92.85505","30.69034","56.26661","50.22911","44.27129","66.36571","996"
"46(1,F6)","Unknown12","51.99898","178.08459","40.61573","40.32753","48.9722","38.83179","51.53702","82.38429","53.98124","41.28682","34.24965","50.79813","59.65698","42.57465","40.57235","1117"
"47(1,G6)","Unknown13","37.58306","43.85154","41.94066","30.99803","36.8172","55.11307","43.28994","69.38373","49.06496","42.34544","28.31643","36.02832","65.06922","40.24765","35.20731","1181"
"48(1,H6)","Unknown14","37.14999","181.87869","22.87497","30.44634","56.49156","41.13079","38.49048","52.38921","58.96091","46.25745","41.38113","45.93208","56.47948","39.66225","39.87323","952"
"49(1,A7)","Unknown15","53.71253","181.77454","58.07785","44.35537","131.56232","103.1126","62.65763","80.89731","90.95435","99.09057","54.12946","57.74173","103.97462","65.55798","65.86334","708"
"50(1,B7)","Unknown16","54.80873","171.83904","49.4238","41.45877","54.97716","44.53838","38.88145","78.66354","85.94589","41.06005","58.54566","51.13726","73.84227","48.32524","104.94243","1006"
"51(1,C7)","Unknown17","42.28716","43.36377","31.09426","28.74244","62.16284","47.14642","37.3946","112.52803","263.35736","27.64159","49.92841","36.56784","63.34955","50.63002","41.13477","1127"
"52(1,D7)","Unknown18","49.74104","93.2234","39.86814","43.02664","37.04647","51.81173","43.80173","73.52358","37.40169","25.36861","33.57672","43.81757","63.07097","46.15568","47.00689","1051"
"53(1,E7)","Unknown19","46.55381","28.15985","41.37044","31.39492","40.64706","57.56237","45.9777","537.62366","46.18755","29.99369","34.11399","42.1299","47.98581","45.22217","46.76932","1101"
"54(1,F7)","Unknown20","43.22714","29.12144","46.84658","28.52094","72.62023","57.88299","43.20917","77.57271","39.68441","29.39215","33.30176","40.34963","56.54712","36.55437","49.76882","1075"
"55(1,G7)","Unknown21","50.66768","73.59652","29.64997","40.50883","32.24692","43.11505","40.67302","57.2089","124.37831","339.38571","76.78045","29.33982","61.30684","43.58607","72.20254","1236"
"56(1,H7)","Unknown22","48.50636","96.21655","49.74142","46.46412","66.08658","44.11627","40.41548","69.34476","63.92442","51.01928","54.2528","44.88791","61.09833","97.46401","63.00573","1031"
"57(1,A8)","Unknown15","52.72765","101.65096","49.61181","61.17218","116.12218","64.62686","53.58929","74.86242","90.86412","39.09498","42.72892","63.38537","76.39169","77.75866","72.65335","1091"
"58(1,B8)","Unknown16","42.21138","61.39927","36.66343","42.23946","49.96085","50.90451","50.93176","57.59371","47.45389","34.09729","41.70496","41.38344","56.31043","50.44963","96.29105","1057"
"59(1,C8)","Unknown17","58.38299","45.20789","41.46514","36.14694","33.86644","59.59098","50.38566","63.23204","47.07025","62.74235","29.3495","39.32861","71.81726","45.93104","43.3501","1069"
"60(1,D8)","Unknown18","54.62164","92.05266","59.87087","42.88467","39.93038","61.48836","43.16707","70.02271","46.74338","41.31573","32.52757","58.36392","98.10863","152.06403","48.69423","1120"
"61(1,E8)","Unknown19","62.54062","53.33326","61.75614","42.57062","46.19814","68.05981","51.06386","82.34621","71.37035","49.63337","68.32376","51.78114","84.66205","41.7493","70.08623","1063"
"62(1,F8)","Unknown20","45.8883","82.83733","36.26544","32.63156","33.66113","47.83219","35.63439","61.81888","49.75171","28.11958","52.75258","42.38401","65.77207","31.55054","46.75851","1101"
"63(1,G8)","Unknown21","48.51358","45.00707","53.65621","36.61363","42.97196","48.00226","40.32464","64.10592","54.73677","31.76502","36.18377","30.5741","65.8228","39.72498","47.28084","1084"
"64(1,H8)","Unknown22","51.96658","79.24731","47.95897","44.03567","50.66442","44.37228","42.52856","67.91676","55.77246","49.43501","45.75662","51.46437","65.10135","45.30476","40.19189","1092"
"65(1,A9)","Unknown23","68.05085","81.11563","65.47689","51.84091","98.08652","91.43901","69.94796","82.19978","86.38355","51.98389","70.1181","63.14869","63.57111","89.01497","83.85237","1208"
"66(1,B9)","Unknown24","64.72","43.10007","44.56687","41.98491","237.08922","76.25802","139.93373","62.44003","133.22211","32.75353","26.96454","48.75343","70.45885","46.00702","112.67647","1090"
"67(1,C9)","Unknown25","45.83446","31.33373","46.25998","28.13538","57.65436","51.28272","34.90807","50.18631","45.16906","28.25085","42.45628","47.69167","210.166","51.46965","48.4186","1018"
"68(1,D9)","Unknown26","60.87147","28.68756","41.71828","31.04315","36.26061","66.07618","42.60566","55.94224","51.52187","90.75043","203.01715","44.01694","53.3352","49.90469","43.21105","974"
"69(1,E9)","Unknown27","64.1102","44.53417","62.28776","47.2004","35.53833","72.97555","63.392","86.73309","105.83368","61.79934","53.34129","63.60777","72.0029","64.3455","488.7377","1111"
"70(1,F9)","Unknown28","55.82478","57.85203","35.59339","28.8139","66.05984","59.44677","48.56921","66.90888","51.41174","30.72561","33.99882","41.13777","76.29101","54.26869","44.75304","971"
"71(1,G9)","Unknown29","51.93954","36.20119","48.06793","48.0625","43.39586","63.99565","43.26313","65.575","66.25987","78.74712","65.35437","57.86235","66.5678","49.06993","44.17673","1215"
"72(1,H9)","Unknown30","32.57273","86.10433","36.28014","25.66505","106.08945","54.59443","38.05192","68.91392","48.0235","36.8713","62.83214","42.31433","58.89061","46.93428","60.46361","1002"
"73(1,A10)","Unknown23","67.60652","174.84949","61.74936","51.77769","84.22596","76.89664","52.78384","85.23964","122.07327","136.84982","42.20166","149.38817","72.55354","77.78673","54.48694","1034"
"74(1,B10)","Unknown24","47.2573","48.11628","34.57374","87.42903","65.75336","45.96966","43.49263","76.63993","44.7106","51.88306","38.72994","41.60096","61.86904","44.68902","93.53739","977"
"75(1,C10)","Unknown25","53.09984","75.8234","46.89503","41.68513","35.62094","64.62739","44.39211","55.50103","61.1105","82.7024","36.95288","50.46536","63.02937","52.76276","71.39034","1145"
"76(1,D10)","Unknown26","48.79307","50.28619","32.99223","38.38918","51.1341","59.42502","42.81863","59.44847","61.81414","270.8443","40.12181","45.56403","63.57108","57.21965","140.41902","1030"
"77(1,E10)","Unknown27","64.37412","116.86852","45.03656","52.44566","42.49256","58.36192","64.01618","71.94099","69.66951","52.99117","251.55435","50.94568","124.91509","77.93443","71.34045","1120"
"78(1,F10)","Unknown28","61.91299","56.6873","52.56318","51.25925","53.67944","65.86515","59.10648","77.62878","63.95991","58.70126","40.18324","52.47259","75.67369","45.39078","81.92448","1174"
"79(1,G10)","Unknown29","38.92496","45.29095","49.54058","57.04405","49.79381","78.96688","42.61275","66.69058","48.0633","53.22238","97.32819","46.04129","69.36255","45.45672","39.89126","1073"
"80(1,H10)","Unknown30","30.39947","25.85308","32.77555","32.9339","84.31337","42.85758","52.52861","49.28424","178.87682","52.98388","63.64994","38.90934","58.04586","47.62743","42.47786","1096"
"81(1,A11)","Unknown31","51.1489","94.81048","38.4452","50.06807","280.39194","56.14745","45.87301","66.33799","63.79364","32.46231","39.76172","62.97797","67.47017","60.41945","80.03104","1338"
"82(1,B11)","Unknown32","44.3049","36.9287","76.78306","72.04909","85.19139","35.96033","62.84463","54.33183","102.28661","42.57109","81.61463","44.05506","59.1266","44.21835","76.04618","1023"
"83(1,C11)","Unknown33","54.6767","103.67092","37.58385","47.66107","80.91238","62.23738","46.52992","66.67659","45.1138","72.15744","38.2997","54.05681","52.68586","54.6","55.42981","1149"
"84(1,D11)","Unknown34","52.75285","81.61855","45.94287","43.51085","106.95439","60.15374","39.81367","67.08655","72.28776","54.41652","72.4362","39.63159","58.34279","43.65612","45.87033","1201"
"85(1,E11)","Unknown35","48.07635","98.16957","42.69837","38.78634","73.99377","58.08244","46.86404","64.06101","40.48474","28.9442","30.5446","47.17838","65.33783","51.07233","57.0049","1029"
"86(1,F11)","Unknown36","55.07363","38.60894","40.13012","46.32428","85.88399","58.12944","45.41342","63.36638","60.85142","50.56519","34.56646","52.05225","71.28049","48.93351","106.22523","1184"
"87(1,G11)","Unknown37","48.42226","181.0005","24.72876","56.9691","67.71022","45.04386","31.91559","53.9355","79.27632","42.0977","46.57503","53.5499","49.93746","38.0286","43.19194","1155"
"88(1,H11)","Unknown38","76.16059","90.62322","63.31144","46.70403","115.05277","92.70842","47.70808","87.38551","75.2369","134.71519","57.23409","52.21187","83.57439","108.36259","64.30923","406"
"89(1,A12)","Unknown31","45.34889","116.32429","44.44937","37.77145","34.33168","42.94791","54.02298","69.49","80.16733","60.02473","32.13475","59.42313","66.73345","52.85702","59.95331","1032"
"90(1,B12)","Unknown32","45.04374","46.71817","24.25562","39.39702","80.85949","47.90524","52.82087","63.47928","81.76041","186.65401","39.34202","30.80059","214.0005","46.85078","49.41426","1332"
"91(1,C12)","Unknown33","46.83988","45.39713","40.22217","29.29956","46.98031","58.14666","37.46197","63.93494","45.49841","28.20165","45.93122","36.84463","60.07677","55.30627","40.52072","893"
"92(1,D12)","Unknown34","55.0098","47.42924","53.83797","39.49729","37.34257","58.7694","48.5226","77.79121","38.72599","35.75128","43.63868","102.68944","311.40656","39.78782","40.17964","1029"
"93(1,E12)","Unknown35","55.03533","34.20785","46.57557","36.97182","40.7588","60.11133","52.48818","63.79489","48.26247","35.13012","25.585","37.49612","67.13789","51.04438","34.3174","1133"
"94(1,F12)","Unknown36","42.0433","85.34124","38.8597","44.0403","86.6818","46.11189","35.68974","71.11784","55.81014","36.47621","36.54903","49.01092","153.81386","46.67529","177.76909","1090"
"95(1,G12)","Unknown37","58.85845","152.7966","33.9264","35.50219","87.7977","44.8442","24.84661","61.96079","56.46446","36.81458","41.36024","48.62534","56.41584","64.27874","47.46491","1170"
"96(1,H12)","Unknown38","75.95814","67.49664","53.69766","51.92639","116.49836","181.20642","53.15231","68.78459","130.55565","97.05338","36.01324","199.92619","76.49156","67.72507","153.22247","1015"


