ID,STRAIN,SEX,peak obesity,BW regain,y2
3714,NZO/HlLtJ,F,0.7557849768600926,0.4860494610019024,-0.3568945190982837
3721,NZO/HlLtJ,F,0.6169825072886297,0.4071791153009427,-0.3400475532275329
3720,NZO/HlLtJ,F,0.4901645925331193,0.37776113815050544,-0.2293177763039239
3727,NZO/HlLtJ,F,0.6131134969325154,0.39061371841155235,-0.3629014523969178
3724,NZO/HlLtJ,F,0.6854330708661418,0.5019524316648917,-0.2676857114136561
3723,NZO/HlLtJ,F,0.7193660610746038,0.5317919075144509,-0.2607492397958707
3729,NZO/HlLtJ,F,0.7260571015540296,0.6042988019732205,-0.1676979666202582
3725,NZO/HlLtJ,F,0.7653194263363754,0.4426907177752724,-0.42156085087966955
3728,NZO/HlLtJ,F,0.7477927063339731,0.5826351865955827,-0.2208600302456402
3710,NZO/HlLtJ,F,0.9890691114245416,0.7508650519031141,-0.24083661775499757
3708,NZO/HlLtJ,F,0.8294744579198824,0.578544061302682,-0.30251732795542857
3722,NZO/HlLtJ,F,0.5119182746878547,0.3835616438356164,-0.250736567141512
7866,C57BL6/J,M,0.5105788423153692,0.2930780559646539,-0.42598863941246434
7865,C57BL6/J,M,0.5081563558017852,0.4710991314764899,-0.07292484665831883
7863,C57BL6/J,M,0.4846715328467153,0.35855031667839543,-0.26021997914246725
7861,C57BL6/J,M,0.5602055800293686,0.5214050493962679,-0.06926123554689805
7874,C57BL6/J,F,0.2833505687693899,0.1800595238095238,-0.36453445429266607
7878,C57BL6/J,F,0.19186046511627905,0.1497584541062802,-0.21944078465817587
7877,C57BL6/J,F,0.2969613259668509,0.26370866471326915,-0.11197640347717752
7872,C57BL6/J,F,0.18380743982494527,0.15083507306889354,-0.1793853762799481
