MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
2489201001,C57BL/6J,8097,3B,C5,370-F,1/7/25,M,CHOW,325.51,,25.77,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201002,C57BL/6J,8096,3B,D5,370-F,1/7/25,M,CHOW,291.32,,22.97,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201003,C57BL/6J,8095,3B,A6,370-F,1/7/25,M,CHOW,290.2,,26.2,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588103,C57BL/6J,8103,3B,E5,370-F,1/7/25,M,CHOW,357.97,,22.19,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588102,C57BL/6J,8102,3B,F5,370-F,1/7/25,M,CHOW,288.64,,21.8,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588101,C57BL/6J,8101,3B,G5,370-F,1/7/25,M,CHOW,340,,23.49,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588100,C57BL/6J,8100,3B,B6,370-F,1/7/25,M,CHOW,301.9,,23.71,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588099,C57BL/6J,8099,3B,C6,370-F,1/7/25,M,CHOW,335.36,,24.11,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588098,C57BL/6J,8098,3B,D6,370-F,1/7/25,M,CHOW,296.98,,22.55,3/7/25,ANIMAL_SEPARATION,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201001,C57BL/6J,8097,3B,A1,370-F,1/7/25,M,CHOW,325.51,303.17,25.8,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201002,C57BL/6J,8096,3B,B1,370-F,1/7/25,M,CHOW,291.32,279.16,22.8,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201003,C57BL/6J,8095,3B,C1,370-F,1/7/25,M,CHOW,290.2,274.71,25.6,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588103,C57BL/6J,8103,3B,D1,370-F,1/7/25,M,CHOW,357.97,343.02,21.8,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588102,C57BL/6J,8102,3B,E1,370-F,1/7/25,M,CHOW,288.64,275.9,22.2,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588101,C57BL/6J,8101,3B,F1,370-F,1/7/25,M,CHOW,340,324.39,23.7,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588100,C57BL/6J,8100,3B,G1,370-F,1/7/25,M,CHOW,301.9,290.34,23.3,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588099,C57BL/6J,8099,3B,B2,370-F,1/7/25,M,CHOW,335.36,322.91,24.1,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588098,C57BL/6J,8098,3B,C2,370-F,1/7/25,M,CHOW,296.98,283.69,22.8,3/10/25,ECHO_MRI,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201001,C57BL/6J,8097,6B,A6,370-F,1/7/25,M,CHOW,303.17,285.14,26.15,3/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201002,C57BL/6J,8096,6B,B6,370-F,1/7/25,M,CHOW,279.16,271.85,22.49,3/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
2489201003,C57BL/6J,8095,6B,C6,370-F,1/7/25,M,CHOW,274.71,257.85,26.25,3/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588103,C57BL/6J,8103,6B,D6,370-F,1/7/25,M,CHOW,343.02,333.06,22.07,3/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588102,C57BL/6J,8102,6B,E6,370-F,1/7/25,M,CHOW,275.9,267.03,22.87,3/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588101,C57BL/6J,8101,6B,F6,370-F,1/7/25,M,CHOW,324.39,316.4,24.01,3/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
B00002588100,C57BL/6J,8100,6B,G6,370-F,1/7/25,M,CHOW,290.34,282.69,23.8,3/12/25,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,664,,,2303-40942A
