Animal #,ID,Trial 1 (g),2 (g),3 (g),4 (g),Average,date,Ratio (grip srength avg/ weight),Fatigue Score,% Fatigue
1,9432,175,194,239,151,189.75,4/28/26,4.99,1.06,-5.69
2,9433,106,141,121,128,124,4/28/26,3.1,1.01,-0.81
3,9437,197,159,205,215,194,4/28/26,2.81,1.18,-17.98
4,9441,159,225,219,161,191,4/28/26,3.98,0.99,1.04
5,9449,107,93,143,153,124,4/28/26,4.13,1.48,-48
6,9451,111,156,175,151,148.25,4/28/26,3.62,1.22,-22.1
7,9452,179,141,182,134,159,4/28/26,3.79,0.99,1.25
8,9454,185,147,174,196,175.5,4/28/26,3.13,1.11,-11.45
9,9455,111,179,167,149,151.5,4/28/26,3.88,1.09,-8.97
10,9436,149,158,141,185,158.25,4/28/26,4.4,1.06,-6.19
11,9438,157,153,154,201,166.25,4/28/26,4.49,1.15,-14.52
12,9439,163,169,186,155,168.25,4/28/26,4.01,1.03,-2.71
13,9443,158,180,175,209,180.5,4/28/26,4.88,1.14,-13.61
14,9444,138,119,140,134,132.75,4/28/26,4.74,1.07,-6.61
15,9450,184,202,206,176,192,4/28/26,5.33,0.99,1.04
16,9453,182,184,169,104,159.75,4/28/26,4.1,0.75,25.41
17,9456,105,144,133,148,132.5,4/28/26,4.02,1.13,-12.85
