Subject,BW,8/27/25 11:00,8/27/25 12:00,8/27/25 13:00,8/27/25 14:00,8/27/25 15:00,8/27/25 16:00,8/27/25 17:00,8/27/25 18:00,8/27/25 19:00,8/27/25 20:00,8/27/25 21:00,8/27/25 22:00,8/27/25 23:00,8/28/25 0:00,8/28/25 1:00,8/28/25 2:00,8/28/25 3:00,8/28/25 4:00,8/28/25 5:00,8/28/25 6:00,8/28/25 7:00,8/28/25 8:00,8/28/25 9:00,8/28/25 10:00,8/28/25 11:00,8/28/25 12:00,8/28/25 13:00,8/28/25 14:00,8/28/25 15:00,8/28/25 16:00,8/28/25 17:00,8/28/25 18:00,8/28/25 19:00,8/28/25 20:00,8/28/25 21:00,8/28/25 22:00,8/28/25 23:00,8/29/25 0:00,8/29/25 1:00,8/29/25 2:00,8/29/25 3:00,8/29/25 4:00,8/29/25 5:00,8/29/25 6:00,8/29/25 7:00,8/29/25 8:00,8/29/25 9:00,8/29/25 10:00
67,27.02,4599.75,7174.166667,5983,4971.833333,2542.5,460.1666667,1898.8,604.6666667,3104.333333,3948.833333,6774.2,5960.833333,5713.666667,5348.333333,4151.4,2056,5.666666667,13.16666667,2196.666667,5231.2,2271,14,1738.166667,1107.2,39,827.8333333,14.5,11,42.83333333,42.33333333,243.6666667,71.8,425,4584.833333,6821.166667,6772.8,6670,6488.666667,5876.5,349.6,13.16666667,2837.333333,3005.333333,5344.833333,1415.4,18.83333333,1941.5,70
68,34.71,930,1007.333333,1226.8,534.3333333,309.3333333,243.5,68.4,211.1666667,11.83333333,248.6666667,1261,1068.833333,595.8333333,522.3333333,362,91.33333333,643.6666667,569.6666667,12.4,593.6666667,205.6666667,261.8333333,122.1666667,18.6,44,231.1666667,394.5,69.4,323.6666667,26.5,408,102,651.8333333,400.8333333,733.1666667,974.2,560.1666667,521.8333333,208.5,255.2,114.1666667,298,457.8333333,559.4,17.16666667,333.3333333,27.16666667,50.83333333
69,37.31,1342.5,1174.333333,971.2,827.3333333,388.6666667,21.16666667,122.2,4,203.1666667,188.5,848.4,245.1666667,260.8333333,511.5,12.2,353.5,19.83333333,147.8333333,12.8,65,152,421.6666667,890.4,300.1666667,2144.5,1320.166667,40.66666667,15.6,22.33333333,148.6666667,17.83333333,148.8,176.3333333,324.8333333,1119.5,349.8,14.5,716.1666667,440.6666667,16.6,33.66666667,14.5,19.5,66.8,339.3333333,237.5,450.1666667,640.6
70,32.83,1476.75,891.4,607,511.6666667,233,142.3333333,365.8,274,86.83333333,211.1666667,569.4,667,304,188.1666667,493.2,566.6666667,98.16666667,193.6666667,63.6,96.33333333,192.1666667,156,134.6,498.8333333,686.6666667,209.8333333,10,15.5,170.5,15.16666667,15.33333333,348.6,274.3333333,387.6666667,40.5,123.2,422.3333333,366.8333333,601.5,107.6,84.5,3.333333333,5,37.4,250.6666667,123.6666667,105,28.6
72,27.1,1506.75,1233.2,909.5,0,0,133.6,294.5,115.5,335,618.8333333,699.2,680.3333333,82.5,353.6666667,0,512.5,214.1666667,176.3333333,19.8,102.8333333,0,0,19.8,484.8333333,29,78.33333333,0,21.83333333,0,0,394.4,0,317.3333333,490.8333333,251.1666667,533.4,393,291,256.1666667,0,141.1666667,0,184.6666667,351.6,0,127.1666667,140,0
73,42.42,1389,981.6,379.1666667,218.5,100,29.8,167.3333333,139.5,40.33333333,185.6,804.3333333,617.8333333,669.1666667,706.6666667,853.6,760,36.83333333,281.3333333,15.4,193,136.6666667,694.5,147,223.8333333,135.6666667,14,99.2,132.6666667,79.5,41.66666667,28,233.1666667,225.6666667,182.6666667,898,357.1666667,369.6666667,805,819,674.2,129,120.1666667,42,216,206.6666667,361.1666667,29.83333333,143.8
74,50.37,1280.5,1002.2,619.3333333,34.16666667,20,139.4,8.833333333,121.6666667,22.66666667,611.4,701.8333333,493,238,219.8,427.3333333,255.3333333,277.5,629.6666667,554.4,898.3333333,114.6666667,8.833333333,7.8,190.8333333,11.16666667,68.66666667,2.8,297.8333333,13.33333333,11.66666667,11.6,48.16666667,10.83333333,191,727.4,504.1666667,244.1666667,113.6666667,490.4,144.6666667,123,512,304.1666667,577.6,16.5,258.5,229.3333333,5.6
75,28.05,4092.25,4163.2,4090.166667,1183.166667,27.33333333,8.2,74,164.8333333,100.3333333,933.6,1502.666667,707.5,145.1666667,388,501,171.1666667,169.8333333,37.4,190.8333333,622,418.8333333,162.1666667,293.8,190.3333333,625.1666667,210,377.2,413.3333333,335.3333333,27.16666667,114.2,799.3333333,707.8333333,817,405.2,739,1126.666667,1332.5,409.2,257.8333333,187.1666667,55.33333333,36,870.1666667,192.5,304.6666667,287.3333333,295.6
76,37.65,2832.5,583.2,184.6666667,78.16666667,307.6666667,320.4,58.5,164.8333333,14.66666667,702.4,1174.333333,919.1666667,485,875.8,712.5,331.5,190.3333333,325.2,193.5,409.3333333,112.8333333,290.4,66,53.66666667,191.8333333,102.3333333,110.2,71.66666667,37,266.1666667,170,81.83333333,143.3333333,209,1392.6,1079.5,487,303.5,464.4,282.3333333,264.6666667,157.6666667,218.8,211.3333333,245.8333333,74.33333333,21.8,69.66666667
77,38.44,1644,1029.5,708.1666667,320.3333333,191.1666667,77.8,225.5,220.3333333,240.8333333,113,171,500,263.1666667,363.6,420.6666667,475.5,230.8333333,240,359.3333333,58.5,387.6666667,148.4,1426.333333,90.33333333,402.3333333,5.6,197.1666667,46.83333333,178.5,22,255.6,463.5,232.6666667,385.8333333,230.4,315.3333333,596.6666667,131.3333333,523.4,487.6666667,71,245.1666667,88.6,208.1666667,126.6666667,675.6666667,151.4,216
78,28.87,2346,1536.5,1224,648.6666667,406.8,76.33333333,434.5,165.6666667,115.3333333,824.6,911,589.8333333,698,702,830.8333333,201.5,572.3333333,67.4,434,577,15.33333333,242,106.5,307,6.333333333,173,212.6666667,140.6666667,78,17.4,125,253,401.5,658.3333333,642.4,442.6666667,602.8333333,690,458.6,447.6666667,212.5,184.6666667,28.6,500.6666667,317,168.6666667,146.6,405.5
