Test,Animal,Stage,Apparatus,Date,Time,Segment of test,Familiar Object 1 ,Novel Object ,Familiar Object 2 ,Duration (s),Distance (m),Center : time (s),Periphery : time (s),Familiar Object 1 : time investigating (s),Familiar Object 1 : time oriented towards (s),Novel Object : time investigating (s),Familiar Object 2 : time investigating (s)
21,5,Familiarization,NORT pod 1,7/16/2025,14:54,0 - 300 secs.,Front left,,Back right,300.0,13.708,39.3,256.1,36.1,60.7,,31.4
21,5,Familiarization,NORT pod 1,7/16/2025,14:54,300 - 600 secs.,Front left,,Back right,300.0,9.171,28.8,270.6,29.7,80.4,,16.3
22,6,Familiarization,NORT pod 2,7/16/2025,14:54,0 - 300 secs.,Front left,,Back right,300.0,19.733,48.6,244.0,26.8,61.3,,30.3
22,6,Familiarization,NORT pod 2,7/16/2025,14:54,300 - 600 secs.,Front left,,Back right,300.0,18.887,38.4,251.6,26.7,58.8,,13.2
23,7,Familiarization,NORT pod 3,7/16/2025,14:54,0 - 300 secs.,,,Back right,300.0,10.785,21.8,277.5,,,,23.5
23,7,Familiarization,NORT pod 3,7/16/2025,14:54,300 - 600 secs.,,,Back right,300.0,8.380,30.6,267.8,,,,39.3
24,8,Familiarization,NORT Pod 4,7/16/2025,14:54,0 - 300 secs.,,,Back right,300.0,8.574,3.6,291.9,,,,11.7
24,8,Familiarization,NORT Pod 4,7/16/2025,14:54,300 - 600 secs.,,,Back right,300.0,6.769,31.2,267.5,,,,28.6
25,9,Familiarization,NORT pod 1,7/16/2025,15:18,0 - 300 secs.,Front left,,Back right,300.0,22.245,26.8,245.4,23.2,59.8,,30.3
25,9,Familiarization,NORT pod 1,7/16/2025,15:18,300 - 600 secs.,Front left,,Back right,300.0,15.455,29.1,254.1,35.3,65.4,,28.7
26,10,Familiarization,NORT pod 2,7/16/2025,15:18,0 - 300 secs.,Front left,,Back right,300.0,13.460,49.4,242.4,37.4,91.6,,18.0
26,10,Familiarization,NORT pod 2,7/16/2025,15:18,300 - 600 secs.,Front left,,Back right,300.0,12.108,54.1,241.6,18.7,56.8,,28.8
27,11,Familiarization,NORT pod 3,7/16/2025,15:18,0 - 300 secs.,Front left,,Back right,300.0,21.521,33.1,263.1,31.9,72.2,,27.2
27,11,Familiarization,NORT pod 3,7/16/2025,15:18,300 - 600 secs.,Front left,,Back right,300.0,15.763,57.1,236.9,49.0,100.6,,25.8
28,12,Familiarization,NORT Pod 4,7/16/2025,15:18,0 - 300 secs.,Front left,,Back right,300.0,28.754,43.7,246.8,26.6,57.5,,17.2
28,12,Familiarization,NORT Pod 4,7/16/2025,15:18,300 - 600 secs.,Front left,,Back right,300.0,13.701,47.0,241.7,48.3,82.5,,16.0
29,13,Familiarization,NORT pod 1,7/16/2025,15:46,0 - 300 secs.,Front left,,Back right,300.0,19.152,39.0,246.5,27.0,70.4,,22.3
29,13,Familiarization,NORT pod 1,7/16/2025,15:46,300 - 600 secs.,Front left,,Back right,300.0,20.294,49.1,236.3,24.8,56.4,,27.2
30,14,Familiarization,NORT pod 2,7/16/2025,15:46,0 - 300 secs.,Front left,,Back right,300.0,12.359,25.9,256.8,13.7,93.7,,36.8
30,14,Familiarization,NORT pod 2,7/16/2025,15:46,300 - 600 secs.,Front left,,Back right,300.0,13.707,43.2,220.4,19.3,79.7,,27.3
31,15,Familiarization,NORT pod 3,7/16/2025,15:46,0 - 300 secs.,Front left,,Back right,300.0,8.967,89.5,210.5,39.7,99.0,,20.2
31,15,Familiarization,NORT pod 3,7/16/2025,15:46,300 - 600 secs.,Front left,,Back right,300.0,7.324,75.4,223.9,31.7,69.7,,37.2
32,16,Familiarization,NORT Pod 4,7/16/2025,15:46,0 - 300 secs.,Front left,,Back right,300.0,26.628,24.7,275.3,14.2,87.2,,10.9
32,16,Familiarization,NORT Pod 4,7/16/2025,15:46,300 - 600 secs.,Front left,,Back right,300.0,57.180,26.3,268.8,11.1,46.3,,10.4
33,2,Recognition,NORT pod 2,7/16/2025,16:07,0 - 300 secs.,Front left,Back right,,300.0,11.865,19.8,277.0,39.0,69.5,18.5,
33,2,Recognition,NORT pod 2,7/16/2025,16:07,300 - 600 secs.,Front left,Back right,,300.0,9.604,40.4,255.8,37.4,61.8,12.9,
34,3,Recognition,NORT pod 3,7/16/2025,16:07,0 - 300 secs.,Front left,Back right,,300.0,23.096,24.5,252.6,12.6,64.9,28.6,
34,3,Recognition,NORT pod 3,7/16/2025,16:07,300 - 600 secs.,Front left,Back right,,300.0,20.367,61.2,210.6,25.1,64.1,40.4,
35,4,Recognition,NORT Pod 4,7/16/2025,16:07,0 - 300 secs.,Front left,Back right,,300.0,20.469,38.5,260.5,21.8,60.6,50.7,
35,4,Recognition,NORT Pod 4,7/16/2025,16:07,300 - 600 secs.,Front left,Back right,,300.0,14.868,52.8,234.7,31.4,81.6,38.4,
36,1,Recognition,NORT pod 1,7/16/2025,16:07,0 - 300 secs.,Front left,Back right,,300.0,12.758,31.1,268.9,34.4,65.9,29.6,
36,1,Recognition,NORT pod 1,7/16/2025,16:07,300 - 600 secs.,Front left,Back right,,300.0,9.582,21.3,276.4,33.7,68.3,38.8,
37,5,Recognition,NORT pod 1,7/16/2025,16:32,0 - 300 secs.,Front left,Back right,,300.0,26.156,77.5,200.8,23.5,64.8,53.1,
37,5,Recognition,NORT pod 1,7/16/2025,16:32,300 - 600 secs.,Front left,Back right,,300.0,22.223,52.4,229.3,28.6,63.6,18.5,
38,6,Recognition,NORT pod 2,7/16/2025,16:32,0 - 300 secs.,Front left,Back right,,300.0,33.743,46.7,239.3,28.7,55.8,17.5,
38,6,Recognition,NORT pod 2,7/16/2025,16:32,300 - 600 secs.,Front left,Back right,,300.0,12.576,39.6,255.5,15.8,53.3,21.4,
39,7,Recognition,NORT pod 3,7/16/2025,16:32,0 - 300 secs.,Front left,Back right,,300.0,14.723,34.9,264.2,16.8,73.9,62.6,
39,7,Recognition,NORT pod 3,7/16/2025,16:32,300 - 600 secs.,Front left,Back right,,300.0,7.416,20.2,279.6,37.7,71.2,29.7,
40,8,Recognition,NORT Pod 4,7/16/2025,16:32,0 - 300 secs.,Front left,Back right,,300.0,14.123,62.4,235.2,18.0,47.7,45.7,
40,8,Recognition,NORT Pod 4,7/16/2025,16:32,300 - 600 secs.,Front left,Back right,,300.0,8.394,74.6,225.0,12.7,66.7,36.4,
41,9,Recognition,NORT pod 1,7/16/2025,16:52,0 - 300 secs.,Front left,Back right,,300.0,15.087,17.5,271.4,21.3,59.1,22.0,
41,9,Recognition,NORT pod 1,7/16/2025,16:52,300 - 600 secs.,Front left,Back right,,300.0,16.045,48.4,236.7,20.4,47.7,18.9,
42,10,Recognition,NORT pod 2,7/16/2025,16:52,0 - 300 secs.,Front left,Back right,,300.0,11.042,38.9,246.3,19.5,72.8,16.4,
42,10,Recognition,NORT pod 2,7/16/2025,16:52,300 - 600 secs.,Front left,Back right,,300.0,11.197,46.3,241.3,33.2,66.5,16.9,
