ID,starting_tee
3706,9.225534236416665
3707,9.225534236416665
3708,9.225534236416665
3709,9.225534236416665
3710,9.225534236416665
3711,9.225534236416665
3712,9.225534236416665
3713,9.225534236416665
3714,9.225534236416665
3716,9.225534236416665
3717,9.225534236416665
3718,9.225534236416665
3719,9.225534236416665
3720,9.225534236416665
3721,9.225534236416665
3722,9.225534236416665
3723,9.225534236416665
3724,9.225534236416665
3725,9.225534236416665
3726,9.225534236416665
3727,9.225534236416665
3728,9.225534236416665
3729,9.225534236416665
