ID,STRAIN,SEX,adiposity_index_BW maintenance,adiposity_index_BW regain,Date_BW maintenance,Date_BW regain,days,y4
3721,NZO/HlLtJ,F,0.4354974704890388,0.4071791153009427,2025-05-27,2025-07-17,51,-0.0012750059508031808
3724,NZO/HlLtJ,F,0.4743747437474375,0.5019524316648917,2025-05-27,2025-07-21,55,0.0010569966344098492
3714,NZO/HlLtJ,F,0.6013900245298447,0.4860494610019024,2025-05-27,2025-07-14,48,-0.003995623985799723
3729,NZO/HlLtJ,F,0.5579399141630902,0.6042988019732205,2025-05-27,2025-07-22,56,0.0014837391290879619
3725,NZO/HlLtJ,F,0.5094863489125405,0.4426907177752724,2025-05-27,2025-07-21,55,-0.0023837066945361467
3727,NZO/HlLtJ,F,0.429000429000429,0.39061371841155235,2025-05-27,2025-07-22,56,-0.0015978468282619909
3708,NZO/HlLtJ,F,0.5201919232307077,0.578544061302682,2025-05-27,2025-07-08,42,0.0026708154408331985
3728,NZO/HlLtJ,F,0.5876694359422824,0.5826351865955827,2025-05-27,2025-07-22,56,-1.52972579930674e-4
3710,NZO/HlLtJ,F,0.8348323793949305,0.7508650519031141,2025-05-27,2025-07-09,43,-0.0023390666132722454
3723,NZO/HlLtJ,F,0.46144329896907216,0.5317919075144509,2025-05-27,2025-07-21,55,0.002771880343204867
3720,NZO/HlLtJ,F,0.3635141192290453,0.37776113815050544,2025-05-27,2025-07-17,51,7.684799500441853e-4
3722,NZO/HlLtJ,F,0.27185628742514967,0.3835616438356164,2025-05-27,2025-07-17,51,0.00805683446512393
7863,C57BL6/J,M,0.2655943507257748,0.35855031667839543,2025-06-05,2025-08-27,83,0.004216774166916943
7866,C57BL6/J,M,0.17843710823234432,0.2930780559646539,2025-06-05,2025-09-05,92,0.006983397513578476
7861,C57BL6/J,M,0.3577586206896552,0.5214050493962679,2025-06-05,2025-08-27,83,0.005511100516756298
7865,C57BL6/J,M,0.3680792891319207,0.4710991314764899,2025-06-05,2025-08-28,84,0.003331963331788142
7874,C57BL6/J,F,0.22095671981776768,0.1800595238095238,2025-06-05,2025-09-02,89,-0.0020796790278720095
7878,C57BL6/J,F,0.12653061224489798,0.1497584541062802,2025-06-05,2025-08-28,84,0.0021854152288934875
7877,C57BL6/J,F,0.12564950401511574,0.26370866471326915,2025-06-05,2025-09-05,92,0.011943087741009755
7872,C57BL6/J,F,0.15882352941176472,0.15083507306889354,2025-06-05,2025-09-01,88,-5.715646373266416e-4
