MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,C57BL/6J,25,,,,1/11/22,M,CHOW,,,30.18,4/22/22,,313.97,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,26,,,,1/11/22,M,CHOW,,,30.9,4/22/22,,328.87,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,27,,,,1/11/22,M,CHOW,,,28.84,4/22/22,,303.96,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,28,,,,1/11/22,M,CHOW,,,26.09,4/22/22,,307.9,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,29,,,,1/11/22,M,CHOW,,,27.8,4/22/22,,294.79,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,30,,,,1/11/22,M,CHOW,,,26.28,4/22/22,,324.07,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,31,,,,1/11/22,F,CHOW,,,19.95,4/22/22,,341.46,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,32,,,,1/11/22,F,CHOW,,,20.53,4/22/22,,285.4,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,33,,,,1/11/22,F,CHOW,,,21.28,4/22/22,,294.42,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,34,,,,1/11/22,F,CHOW,,,21.62,4/22/22,,309.18,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,35,,,,1/11/22,F,CHOW,,,22.95,4/22/22,,311.3,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,C57BL/6J,36,,,,1/11/22,F,CHOW,,,21.85,4/22/22,,302.69,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,37,,,,1/11/22,M,CHOW,,,51.98,4/22/22,,290.22,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,38,,,,1/11/22,M,CHOW,,,45.82,4/22/22,,318.65,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,39,,,,1/11/22,M,CHOW,,,50.65,4/22/22,,282.93,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,40,,,,1/11/22,M,CHOW,,,45.3,4/22/22,,340.57,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,41,,,,1/11/22,M,CHOW,,,48.22,4/22/22,,380.86,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
,NZO/HlLtJ,42,,,,1/11/22,M,CHOW,,,44.7,4/22/22,,310.09,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,,
