MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,IN_SABLE,NEW_FOOD_END_SESSION_G,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_VENDOR,BASAL_GLU_mg_dL
B00002513720,NZO/HlLtJ,3720,3A,L4,370-F,9/24/24,F,LFD,10.3,0.5,27.64,21.33,,12/6/24,FOOD_REPLACEMENT,NO,17.61,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513721,NZO/HlLtJ,3721,3A,H5,370-F,9/24/24,F,LFD,10.3,0.5,28.68,22.24,,12/6/24,FOOD_REPLACEMENT,NO,16.4,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513722,NZO/HlLtJ,3722,3A,I5,370-F,9/24/24,F,LFD,10.3,0.5,28.34,21.44,,12/6/24,FOOD_REPLACEMENT,NO,18.09,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513723,NZO/HlLtJ,3723,3A,J5,370-F,9/24/24,F,LFD,10.3,0.5,29.72,22.48,,12/6/24,FOOD_REPLACEMENT,NO,16.51,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513724,NZO/HlLtJ,3724,3A,K5,370-F,9/24/24,F,LFD,10.3,0.5,25.2,18.32,,12/6/24,FOOD_REPLACEMENT,NO,15.29,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513725,NZO/HlLtJ,3725,3A,L5,370-F,9/24/24,F,LFD,10.3,0.5,29.6,23.16,,12/6/24,FOOD_REPLACEMENT,NO,15.34,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513716,NZO/HlLtJ,3716,3A,L6,370-F,9/24/24,F,LFD,10.5,2,20.73,6.57,,12/9/24,FOOD_REPLACEMENT,NO,28.15,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513717,NZO/HlLtJ,3717,3A,I4,370-F,9/24/24,F,LFD,10.5,2,21.32,6.32,,12/9/24,FOOD_REPLACEMENT,NO,29,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513718,NZO/HlLtJ,3718,3A,J4,370-F,9/24/24,F,LFD,10.5,2,17.04,2.49,,12/9/24,FOOD_REPLACEMENT,NO,31.25,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513719,NZO/HlLtJ,3719,3A,K4,370-F,9/24/24,F,LFD,10.5,2,19.31,2.52,,12/9/24,FOOD_REPLACEMENT,NO,28.94,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513720,NZO/HlLtJ,3720,3A,L4,370-F,9/24/24,F,LFD,10.5,1,17.61,5.65,,12/9/24,FOOD_REPLACEMENT,NO,30.72,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513721,NZO/HlLtJ,3721,3A,H5,370-F,9/24/24,F,LFD,10.5,1,16.4,1.53,,12/9/24,FOOD_REPLACEMENT,NO,29.17,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513722,NZO/HlLtJ,3722,3A,I5,370-F,9/24/24,F,LFD,10.5,1,18.09,6.46,,12/9/24,FOOD_REPLACEMENT,NO,30.12,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513723,NZO/HlLtJ,3723,3A,J5,370-F,9/24/24,F,LFD,10.5,1,16.51,4.43,,12/9/24,FOOD_REPLACEMENT,NO,31.21,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513724,NZO/HlLtJ,3724,3A,K5,370-F,9/24/24,F,LFD,10.5,1,15.29,0.86,,12/9/24,FOOD_REPLACEMENT,NO,32.17,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
B00002513725,NZO/HlLtJ,3725,3A,L5,370-F,9/24/24,F,LFD,10.5,1,15.34,3.23,,12/9/24,FOOD_REPLACEMENT,NO,33,D12450Ki_research_diets,24080209i,JACKSON_LABORATORIES,2105,
