MICE_ID_RAR_INDIVIDUAL,ID,STRAIN,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,9353,CD1,6A,,370-F,,M,HFD,,,,5/5/25,,10.33,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,,,,5/5/25,,10.55,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,,,,5/5/25,,10.63,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,,,,5/5/25,,11.68,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,,,,5/5/25,,10.89,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,,,,5/5/25,,11.11,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,,,,5/5/25,,10.79,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,,,,5/5/25,,11.91,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,,,,5/5/25,,11.92,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,,,,5/5/25,,10.93,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,,,,5/5/25,,12,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,,,,5/5/25,,10.1,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,,,,5/5/25,,10.04,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,,,,5/5/25,,11.66,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,,,,5/5/25,,9.23,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,,,,5/5/25,,11.98,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,,,,5/5/25,,10.37,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,,,,5/5/25,,11.84,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,,,,5/5/25,,11.04,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,,,,5/5/25,,11.66,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,,,,5/5/25,,11.2,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,,,,5/5/25,,9.25,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,,,,5/5/25,,11.12,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,,,,5/5/25,,12.24,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,10.33,2.25,23.5,5/7/25,,17.52,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,10.55,2.97,20.23,5/7/25,,17.68,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,10.63,7.95,13.17,5/7/25,,17.37,NO,D12451i,,,,,,2409-42370A
