MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002513726,NZO/HlLtJ,3726,,CAGE_8,230-F,10/4/24,F,CHOW,315.32,,31.46,11/26/24,DAY_1_SABLE,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,,CAGE_8,230-F,10/4/24,F,CHOW,315.32,309.81,35.05,11/27/24,DAY_2_SABLE,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,CHOW,188.11,177.63,31.52,11/27/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,CHOW,191.67,181.97,30.95,11/27/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,CHOW,205.98,195.53,34.06,11/27/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,,CAGE_8,230-F,10/4/24,F,CHOW,309.81,300.1,,11/29/24,DAY_4_SABLE,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513727,NZO/HlLtJ,3727,3A,N5,370-F,10/4/24,F,CHOW,177.63,166.45,,11/29/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513728,NZO/HlLtJ,3728,3A,M4,370-F,10/4/24,F,CHOW,181.97,172,,11/29/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513729,NZO/HlLtJ,3729,3A,N4,370-F,10/4/24,F,CHOW,195.53,184.88,,11/29/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,,,2303-40942A
B00002513726,NZO/HlLtJ,3726,,CAGE_8,230-F,10/4/24,F,CHOW,29.51,,37.04,12/2/24,DAY_7_SABLE_DAY_1_LFD_AD_LIB,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,JACKSON_LABORATORIES,2105,206,,2303-40942A
