Test,Animal,Stage,Apparatus,Date,Time,Segment of test,Familiar Object 1 ,Novel Object ,Familiar Object 2 ,Duration (s),Distance (m),Center : time (s),Periphery : time (s),Familiar Object 1 : time investigating (s),Familiar Object 1 : time oriented towards (s),Novel Object : time investigating (s),Familiar Object 2 : time investigating (s)
18,9447.1N,Familiarization,NORT pod 3,4/7/2026,14:10:19,300 - 600 secs.,Back left,,Front right,300.0,10.499,54.1,235.7,40.3,73.1,,44.2
19,9431.1N,Recognition,NORT pod 1,4/7/2026,14:58:19,0 - 300 secs.,Back left,Front right,,300.0,9.784,69.5,230.0,21.9,79.0,58.9,
19,9431.1N,Recognition,NORT pod 1,4/7/2026,14:58:19,300 - 600 secs.,Back left,Front right,,300.0,10.212,64.2,235.0,25.9,58.9,46.4,
20,9431.2L,Recognition,NORT pod 2,4/7/2026,14:58:19,0 - 300 secs.,Back left,Front right,,300.0,12.795,14.3,280.1,17.0,81.3,36.2,
20,9431.2L,Recognition,NORT pod 2,4/7/2026,14:58:19,300 - 600 secs.,Back left,Front right,,300.0,13.912,48.4,244.4,28.6,62.5,16.1,
21,9431.3R,Recognition,NORT pod 3,4/7/2026,14:58:19,0 - 300 secs.,Back left,Front right,,300.0,12.614,30.1,255.8,12.8,81.3,27.5,
21,9431.3R,Recognition,NORT pod 3,4/7/2026,14:58:19,300 - 600 secs.,Back left,Front right,,300.0,12.437,45.2,236.6,17.3,46.4,27.9,
22,9440.1N,Recognition,NORT Pod 4,4/7/2026,14:58:19,0 - 300 secs.,Back left,Front right,,300.0,17.344,30.8,237.9,11.9,61.8,24.2,
22,9440.1N,Recognition,NORT Pod 4,4/7/2026,14:58:19,300 - 600 secs.,Back left,Front right,,300.0,13.949,23.3,250.9,20.8,57.9,22.7,
23,9440.2L,Recognition,NORT Pod 5,4/7/2026,14:58:19,0 - 300 secs.,Back left,Front right,,300.0,11.245,8.4,263.2,19.1,91.4,28.0,
23,9440.2L,Recognition,NORT Pod 5,4/7/2026,14:58:19,300 - 600 secs.,Back left,Front right,,300.0,12.357,28.6,248.5,23.3,73.3,37.7,
24,9445.1N,Recognition,NORT pod 1,4/7/2026,15:22:00,0 - 300 secs.,Back left,Front right,,300.0,9.458,67.3,225.4,24.2,87.6,20.9,
24,9445.1N,Recognition,NORT pod 1,4/7/2026,15:22:00,300 - 600 secs.,Back left,Front right,,300.0,12.780,117.6,168.7,49.1,75.8,23.6,
25,9445.2L,Recognition,NORT pod 2,4/7/2026,15:22:00,0 - 300 secs.,Back left,Front right,,300.0,8.902,35.5,257.0,42.0,100.4,13.1,
25,9445.2L,Recognition,NORT pod 2,4/7/2026,15:22:00,300 - 600 secs.,Back left,Front right,,300.0,5.770,10.7,288.3,30.5,120.5,58.5,
26,9447.1N,Recognition,NORT pod 3,4/7/2026,15:22:00,0 - 300 secs.,Back left,Front right,,300.0,8.252,49.9,231.6,11.3,68.1,28.6,
26,9447.1N,Recognition,NORT pod 3,4/7/2026,15:22:00,300 - 600 secs.,Back left,Front right,,300.0,5.858,58.4,231.8,23.8,80.6,39.7,
27,9447.2L,Recognition,NORT Pod 4,4/7/2026,15:22:00,0 - 300 secs.,Back left,Front right,,300.0,6.765,34.1,260.5,20.9,82.9,39.2,
27,9447.2L,Recognition,NORT Pod 4,4/7/2026,15:22:00,300 - 600 secs.,Back left,Front right,,300.0,3.479,44.9,249.8,32.3,78.3,40.9,
