ID,SABLE,STRAIN,SEX,DIET_FORMULA,total_pedmeters,GROUP,DRUG
3721,BW maintenance,NZO/HlLtJ,F,D12450Ki,56.09283700000001,restricted,RTIOXA_47
3721,BW regain,NZO/HlLtJ,F,D12450Ki,43.330256950000006,restricted,RTIOXA_47
3721,baseline,NZO/HlLtJ,F,D12450Ki,32.726115704999984,restricted,RTIOXA_47
3721,peak obesity,NZO/HlLtJ,F,D12450Ki,52.40740514999999,restricted,RTIOXA_47
3722,BW loss,NZO/HlLtJ,F,D12450Ki,61.884792000000004,restricted,RTIOXA_47
3722,BW maintenance,NZO/HlLtJ,F,D12450Ki,61.45142299999996,restricted,RTIOXA_47
3722,BW regain,NZO/HlLtJ,F,D12450Ki,97.61721399999999,restricted,RTIOXA_47
3722,baseline,NZO/HlLtJ,F,D12450Ki,35.72520300000001,restricted,RTIOXA_47
3722,peak obesity,NZO/HlLtJ,F,D12450Ki,20.705958500000005,restricted,RTIOXA_47
3723,BW loss,NZO/HlLtJ,F,D12450Ki,35.03035349999999,restricted,RTIOXA_47
3723,BW maintenance,NZO/HlLtJ,F,D12450Ki,50.87958950000001,restricted,RTIOXA_47
3723,BW regain,NZO/HlLtJ,F,D12450Ki,43.012614,restricted,RTIOXA_47
3723,baseline,NZO/HlLtJ,F,D12450Ki,18.881431345000003,restricted,RTIOXA_47
3723,peak obesity,NZO/HlLtJ,F,D12450Ki,21.564545999999996,restricted,RTIOXA_47
3724,BW loss,NZO/HlLtJ,F,D12450Ki,47.52770378999998,restricted,vehicle
3724,BW maintenance,NZO/HlLtJ,F,D12450Ki,88.99728400000006,restricted,vehicle
3724,BW regain,NZO/HlLtJ,F,D12450Ki,73.62463375000002,restricted,vehicle
3724,baseline,NZO/HlLtJ,F,D12450Ki,23.908195,restricted,vehicle
3724,peak obesity,NZO/HlLtJ,F,D12450Ki,38.920581000000006,restricted,vehicle
3725,BW loss,NZO/HlLtJ,F,D12450Ki,68.25983260000002,restricted,vehicle
3725,BW maintenance,NZO/HlLtJ,F,D12450Ki,74.65185635000003,restricted,vehicle
