ID,DIET_FORMULA,INTAKE_GR,DATE,delta_measurement,corrected_intake_gr,DIET,KCAL_G,corrected_intake_kcal,SEX,COHORT,STRAIN,AIM,DIET_CODE
3707,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,2024-11-12,1,NA,CHOW,3.1,NA,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,5.490000000000009,2024-11-13,1,5.490000000000009,CHOW,3.1,17.01900000000003,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,9.590000000000032,2024-11-15,2,4.795000000000016,CHOW,3.1,14.86450000000005,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,NA,2024-11-18,3,NA,LFD,3.82,NA,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,2.210000000000001,2024-11-20,2,1.1050000000000004,LFD,3.82,4.221100000000002,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,6.350000000000001,2024-11-22,2,3.1750000000000007,LFD,3.82,12.128500000000003,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,13.1,2024-11-25,3,4.366666666666666,LFD,3.82,16.680666666666664,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,9.61,2024-11-27,2,4.805,LFD,3.82,18.355099999999997,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,10.98,2024-11-29,2,5.49,LFD,3.82,20.971799999999998,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,14.6,2024-12-02,3,4.866666666666666,LFD,3.82,18.590666666666664,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,8.79,2024-12-04,2,4.395,LFD,3.82,16.788899999999998,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,9.46,2024-12-06,2,4.73,LFD,3.82,18.0686,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,16.92,2024-12-09,3,5.640000000000001,LFD,3.82,21.544800000000002,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3707,D12450Ki_research_diets,8.810000000000002,2024-12-11,2,4.405000000000001,LFD,3.82,16.827100000000005,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,12.259999999999991,2024-10-28,3,4.086666666666663,CHOW,3.1,12.668666666666656,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,11.04000000000002,2024-10-30,2,5.52000000000001,CHOW,3.1,17.112000000000034,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,12.829999999999984,2024-11-01,2,6.414999999999992,CHOW,3.1,19.886499999999977,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,19.039999999999992,2024-11-04,3,6.346666666666664,CHOW,3.1,19.67466666666666,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,15.150000000000006,2024-11-06,2,7.575000000000003,CHOW,3.1,23.48250000000001,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,13.75,2024-11-08,2,6.875,CHOW,3.1,21.3125,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,19.569999999999993,2024-11-11,3,6.523333333333331,CHOW,3.1,20.222333333333324,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,2024-11-12,1,NA,CHOW,3.1,NA,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,4.779999999999973,2024-11-13,1,4.779999999999973,CHOW,3.1,14.817999999999916,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,13.720000000000027,2024-11-15,2,6.860000000000014,CHOW,3.1,21.266000000000044,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,NA,2024-11-18,3,NA,LFD,3.82,NA,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,3.039999999999999,2024-11-20,2,1.5199999999999996,LFD,3.82,5.806399999999998,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,7.09,2024-11-22,2,3.545,LFD,3.82,13.5419,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,15.17,2024-11-25,3,5.056666666666667,LFD,3.82,19.316466666666667,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,9.04,2024-11-27,2,4.52,LFD,3.82,17.266399999999997,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,9.43,2024-11-29,2,4.715,LFD,3.82,18.0113,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,11.729999999999999,2024-12-02,3,3.9099999999999997,LFD,3.82,14.936199999999998,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,8.689999999999998,2024-12-04,2,4.344999999999999,LFD,3.82,16.597899999999996,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,8.23,2024-12-06,2,4.115,LFD,3.82,15.7193,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,13.09,2024-12-09,3,4.363333333333333,LFD,3.82,16.667933333333334,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3708,D12450Ki_research_diets,7.599999999999998,2024-12-11,2,3.799999999999999,LFD,3.82,14.515999999999995,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3709,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,12.110000000000014,2024-10-28,3,4.0366666666666715,CHOW,3.1,12.513666666666682,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3709,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,9.519999999999982,2024-10-30,2,4.759999999999991,CHOW,3.1,14.755999999999972,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3709,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,12.060000000000002,2024-11-01,2,6.030000000000001,CHOW,3.1,18.693000000000005,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3709,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,18.430000000000007,2024-11-04,3,6.143333333333335,CHOW,3.1,19.04433333333334,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3709,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,14.590000000000003,2024-11-06,2,7.295000000000002,CHOW,3.1,22.614500000000007,F,3,NZO/HlLtJ,EEGAP,D12450Ki
3709,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,11.939999999999998,2024-11-08,2,5.969999999999999,CHOW,3.1,18.506999999999998,F,3,NZO/HlLtJ,EEGAP,D12450Ki
