ID,tee_delta
3706,-0.09679463203411813
3707,-0.18704674660571788
3708,-0.18309056007229121
3709,-0.3340009353059771
3710,-0.11585084356858637
3711,-0.8428163824696749
3712,0.20155751992414808
3713,-0.12919388930115544
3714,-0.12773771532290099
3716,-0.2441767054113232
3717,-0.22124129533447545
3718,-0.8431222567623631
3719,-0.047170293533699593
3720,-0.27972559880771847
3721,-0.19873351041598436
3722,-0.2609956550659888
3723,-3.4970543851487634
3724,-0.2863464268396826
3725,-0.3040543662115523
3726,-0.2670247814632018
3727,-0.8200219659782648
3728,-0.27464075217586864
3729,-0.196812778300759
