Test,Animal,Stage,Apparatus,Date,Time,Segment of test,Familiar Object 1 ,Novel Object ,Familiar Object 2 ,Duration (s),Distance (m),Center : time (s),Periphery : time (s),Familiar Object 1 : time investigating (s),Familiar Object 1 : time oriented towards (s),Novel Object : time investigating (s),Familiar Object 2 : time investigating (s)
1,9413.1,Habituation,NORT pod 1,1/15/26,9:53:20,0 - 300 secs.,,,,8.8,0,0,0,,,,
2,9413.2,Habituation,NORT pod 2,1/15/26,9:53:20,0 - 300 secs.,,,,8.8,0,0,0,,,,
3,9408,Habituation,NORT pod 3,1/15/26,9:53:20,0 - 300 secs.,,,,8.8,0,0,0,,,,
4,9409,Habituation,NORT Pod 4,1/15/26,9:53:20,0 - 300 secs.,,,,8.8,0,0,0,,,,
5,9413.1,Familiarization,NORT pod 1,1/15/26,9:59:05,0 - 300 secs.,Back left,,Front right,300,20.051,22.3,277.7,12.6,90.9,,14.9
5,9413.1,Familiarization,NORT pod 1,1/15/26,9:59:05,300 - 600 secs.,Back left,,Front right,300,15.972,13.9,286.1,5.2,109.6,,5.5
6,9413.2,Familiarization,NORT pod 2,1/15/26,9:59:05,0 - 300 secs.,Back left,,Front right,300,17.47,15.5,284.5,14.9,66.9,,18.1
6,9413.2,Familiarization,NORT pod 2,1/15/26,9:59:05,300 - 600 secs.,Back left,,Front right,300,9.671,10,290,20.5,67.7,,4.4
7,9408,Familiarization,NORT pod 3,1/15/26,9:59:05,0 - 300 secs.,Back left,,Front right,300,26.604,20.4,279.6,12.7,73.2,,64.1
7,9408,Familiarization,NORT pod 3,1/15/26,9:59:05,300 - 600 secs.,Back left,,Front right,300,24.655,43.4,256.4,33.6,71.6,,58.2
8,9409,Familiarization,NORT Pod 4,1/15/26,9:59:05,0 - 300 secs.,Back left,,Front right,300,12.802,5.3,294.7,5.7,107.7,,34
8,9409,Familiarization,NORT Pod 4,1/15/26,9:59:05,300 - 600 secs.,Back left,,Front right,300,10.527,1.3,298.7,3.7,101.4,,28.7
9,9413.1,Recognition,NORT pod 1,1/15/26,10:41:20,0 - 300 secs.,Back left,Front right,,300,10.816,6.9,293.1,9.1,151.8,34.9,
9,9413.1,Recognition,NORT pod 1,1/15/26,10:41:20,300 - 600 secs.,Back left,Front right,,300,5.036,5.8,294.2,3.3,157.1,30.3,
10,9413.2,Recognition,NORT pod 2,1/15/26,10:41:20,0 - 300 secs.,Back left,Front right,,300,5.952,4.6,295.4,9.5,115.8,9.2,
10,9413.2,Recognition,NORT pod 2,1/15/26,10:41:20,300 - 600 secs.,Back left,Front right,,300,6.014,8,292,3.1,82.9,15.9,
11,9408,Recognition,NORT pod 3,1/15/26,10:41:20,0 - 300 secs.,Back left,Front right,,300,22.069,38.5,259.9,49.6,86.5,23.2,
11,9408,Recognition,NORT pod 3,1/15/26,10:41:20,300 - 600 secs.,Back left,Front right,,300,21.454,35.3,261.8,58.2,87.1,21.7,
12,9409,Recognition,NORT Pod 4,1/15/26,10:41:20,0 - 300 secs.,Back left,Front right,,300,6.1,0.2,299.8,4,72.9,9.6,
12,9409,Recognition,NORT Pod 4,1/15/26,10:41:20,300 - 600 secs.,Back left,Front right,,300,4.677,1.6,298.4,4.2,157.2,54.6,
