Test,Animal,Stage,Apparatus,Date,Time,Segment of test,Familiar Object 1 ,Novel Object ,Familiar Object 2 ,Duration (s),Distance (m),Center : time (s),Periphery : time (s),Familiar Object 1 : time investigating (s),Familiar Object 1 : time oriented towards (s),Novel Object : time investigating (s),Familiar Object 2 : time investigating (s)
1,9413.1,Habituation,NORT pod 1,10/13/2025,10:13,0 - 300 secs.,,,,300.0,21.814,44.3,243.4,,,,
1,9413.1,Habituation,NORT pod 1,10/13/2025,10:13,300 - 600 secs.,,,,300.0,18.616,24.9,263.7,,,,
2,9413.2,Habituation,NORT pod 2,10/13/2025,10:13,0 - 300 secs.,,,,300.0,25.519,25.3,262.3,,,,
2,9413.2,Habituation,NORT pod 2,10/13/2025,10:13,300 - 600 secs.,,,,300.0,22.470,29.9,256.5,,,,
3,9408,Habituation,NORT pod 3,10/13/2025,10:13,0 - 300 secs.,,,,300.0,18.559,13.3,282.2,,,,
3,9408,Habituation,NORT pod 3,10/13/2025,10:13,300 - 600 secs.,,,,300.0,19.165,49.6,249.6,,,,
4,9409,Habituation,NORT Pod 4,10/13/2025,10:13,0 - 300 secs.,,,,300.0,20.869,27.0,269.3,,,,
4,9409,Habituation,NORT Pod 4,10/13/2025,10:13,300 - 600 secs.,,,,300.0,17.910,31.0,267.9,,,,
5,9388.1,Habituation,NORT Pod 5,10/13/2025,10:13,0 - 300 secs.,,,,300.0,14.987,45.0,255.0,,,,
5,9388.1,Habituation,NORT Pod 5,10/13/2025,10:13,300 - 600 secs.,,,,300.0,14.590,56.2,243.8,,,,
6,9388.2,Habituation,NORT pod 1,10/13/2025,10:33,0 - 300 secs.,,,,300.0,13.488,32.3,258.1,,,,
6,9388.2,Habituation,NORT pod 1,10/13/2025,10:33,300 - 600 secs.,,,,300.0,11.801,17.7,280.2,,,,
7,9385.1,Habituation,NORT pod 2,10/13/2025,10:33,0 - 300 secs.,,,,300.0,19.402,18.5,262.5,,,,
7,9385.1,Habituation,NORT pod 2,10/13/2025,10:33,300 - 600 secs.,,,,300.0,21.653,39.1,250.8,,,,
8,9385.2,Habituation,NORT pod 3,10/13/2025,10:33,0 - 300 secs.,,,,300.0,16.870,26.5,246.9,,,,
8,9385.2,Habituation,NORT pod 3,10/13/2025,10:33,300 - 600 secs.,,,,300.0,14.624,33.1,247.9,,,,
9,9385.3,Habituation,NORT Pod 4,10/13/2025,10:33,0 - 300 secs.,,,,300.0,12.090,35.5,264.5,,,,
9,9385.3,Habituation,NORT Pod 4,10/13/2025,10:33,300 - 600 secs.,,,,300.0,9.084,65.0,235.0,,,,
10,9385.4,Habituation,NORT Pod 5,10/13/2025,10:33,0 - 300 secs.,,,,300.0,100.023,118.0,182.0,,,,
10,9385.4,Habituation,NORT Pod 5,10/13/2025,10:33,300 - 600 secs.,,,,300.0,101.438,79.8,220.2,,,,
11,9380.1,Habituation,NORT pod 1,10/13/2025,10:51,0 - 300 secs.,,,,300.0,7.661,11.6,285.6,,,,
11,9380.1,Habituation,NORT pod 1,10/13/2025,10:51,300 - 600 secs.,,,,300.0,10.405,15.7,280.7,,,,
12,9380.2,Habituation,NORT pod 2,10/13/2025,10:51,0 - 300 secs.,,,,300.0,24.601,17.9,270.1,,,,
12,9380.2,Habituation,NORT pod 2,10/13/2025,10:51,300 - 600 secs.,,,,300.0,20.263,22.1,264.6,,,,
13,9380.3,Habituation,NORT pod 3,10/13/2025,10:51,0 - 300 secs.,,,,300.0,7.690,5.2,294.8,,,,
13,9380.3,Habituation,NORT pod 3,10/13/2025,10:51,300 - 600 secs.,,,,300.0,12.104,12.9,280.7,,,,
14,9389.1,Habituation,NORT Pod 4,10/13/2025,10:51,0 - 300 secs.,,,,300.0,18.765,17.8,280.8,,,,
14,9389.1,Habituation,NORT Pod 4,10/13/2025,10:51,300 - 600 secs.,,,,300.0,13.068,9.8,290.2,,,,
15,9389.2,Habituation,NORT Pod 5,10/13/2025,10:51,0 - 300 secs.,,,,300.0,12.431,4.4,295.6,,,,
15,9389.2,Habituation,NORT Pod 5,10/13/2025,10:51,300 - 600 secs.,,,,300.0,11.309,14.3,285.7,,,,
16,9389.4,Habituation,NORT pod 2,10/13/2025,11:07,0 - 300 secs.,,,,300.0,11.288,9.9,290.1,,,,
16,9389.4,Habituation,NORT pod 2,10/13/2025,11:07,300 - 600 secs.,,,,300.0,6.641,19.4,280.6,,,,
17,9389.3,Habituation,NORT pod 1,10/13/2025,11:07,0 - 300 secs.,,,,300.0,18.803,17.8,280.3,,,,
17,9389.3,Habituation,NORT pod 1,10/13/2025,11:07,300 - 600 secs.,,,,300.0,11.571,9.5,270.8,,,,
18,9392.1,Habituation,NORT pod 3,10/13/2025,11:08,0 - 300 secs.,,,,300.0,8.832,3.0,297.0,,,,
18,9392.1,Habituation,NORT pod 3,10/13/2025,11:08,300 - 600 secs.,,,,300.0,10.329,8.1,290.9,,,,
19,9392.2,Habituation,NORT Pod 4,10/13/2025,11:11,0 - 300 secs.,,,,300.0,22.453,17.7,268.8,,,,
19,9392.2,Habituation,NORT Pod 4,10/13/2025,11:11,300 - 600 secs.,,,,300.0,14.544,29.2,264.3,,,,
20,9413.1,Familiarization,NORT pod 1,10/14/2025,10:45,0 - 300 secs.,Back left,,Front right,300.0,23.770,31.6,261.5,9.9,74.9,,17.2
