MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,C57BL/6J,341,B1,VA,149,10/31/24,M,CHOW,18,,325.5,,34,3/6/25,saline injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,343,B2,VA,149,10/31/24,M,CHOW,18,,314.9,,32.1,3/10/25,saline injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,344,B3,VA,149,10/31/24,M,CHOW,18,,326,,33.3,3/6/25,saline injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,346,B5,VA,149,10/31/24,M,CHOW,18,,317.8,,31.2,3/10/25,saline injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,347,B6,VA,149,10/31/24,M,CHOW,18,,319.2,,31.2,3/6/25,saline injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,348,B7,VA,149,10/31/24,M,CHOW,18,,287.2,,32.7,3/10/25,saline injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,341,B1,VA,149,10/31/24,M,CHOW,18,,,322.4,33.6,3/7/25,no injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,343,B2,VA,149,10/31/24,M,CHOW,18,,,311.4,32,3/11/25,no injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,344,B3,VA,149,10/31/24,M,CHOW,18,,,323.3,32.8,3/7/25,no injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,346,B5,VA,149,10/31/24,M,CHOW,18,,,313.8,31,3/11/25,no injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,347,B6,VA,149,10/31/24,M,CHOW,18,,,316.2,30.7,3/7/25,no injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,348,B7,VA,149,10/31/24,M,CHOW,18,,,281.9,33.2,3/11/25,no injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,341,B1,VA,149,10/31/24,M,CHOW,,,313,,33.6,3/10/25,sal+2%DMSO injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,343,B2,VA,149,10/31/24,M,CHOW,,,327.4,,32.4,3/6/25,sal+2%DMSO injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
,C57BL/6J,344,B3,VA,149,10/31/24,M,CHOW,,,312.3,,32.8,3/10/25,sal+2%DMSO injection,,YES,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,VA,,,,1643182
