MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002444012,C57BL/6J,4012,6A,N3,370-F,2/6/24,M,CHOW,7.5,0,0,0,23.44,3/29/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444013,C57BL/6J,4013,6A,H4,370-F,2/6/24,M,CHOW,7.5,0,0,0,22,3/29/24,GROUPED_CARD,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444014,C57BL/6J,4014,6A,I4,370-F,2/6/24,M,CHOW,7.5,0,0,0,24.45,3/29/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444015,C57BL/6J,4015,6A,J4,370-F,2/6/24,M,CHOW,7.5,0,0,0,24.31,3/29/24,GROUPED_CARD,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444016,C57BL/6J,4016,6A,K4,370-F,2/6/24,M,CHOW,7.5,0,0,0,24.64,3/29/24,,,NO,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,NA,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443993,C57BL/6J,3993,6A,H1,370-F,2/6/24,F,HFD,8,0,29.57,0,17.5,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443994,C57BL/6J,3994,6A,I1,370-F,2/6/24,F,HFD,8,0,28.19,0,17.3,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443995,C57BL/6J,3995,6A,J1,370-F,2/6/24,F,HFD,8,0,25.49,0,17.2,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443996,C57BL/6J,3996,6A,K1,370-F,2/6/24,F,HFD,8,0,29.95,0,16.4,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443997,C57BL/6J,3997,6A,L1,370-F,2/6/24,F,HFD,8,0,25.16,0,18.1,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443998,C57BL/6J,3998,6A,M1,370-F,2/6/24,F,HFD,8,0,26.37,0,18.3,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443999,C57BL/6J,3999,6A,H2,370-F,2/6/24,F,HFD,8,0,27.92,0,19.8,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444000,C57BL/6J,4000,6A,I2,370-F,2/6/24,F,HFD,8,0,27.59,0,17.9,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444001,C57BL/6J,4001,6A,J2,370-F,2/6/24,F,LFD,8,0,27.31,0,17.4,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444002,C57BL/6J,4002,6A,K2,370-F,2/6/24,F,LFD,8,0,27.32,0,18.1,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444003,C57BL/6J,4003,6A,L2,370-F,2/6/24,F,LFD,8,0,25.46,0,17.2,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444004,C57BL/6J,4004,6A,M2,370-F,2/6/24,F,LFD,8,0,27.37,0,17.3,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444005,C57BL/6J,4005,6A,N2,370-F,2/6/24,M,HFD,8,0,26.4,0,23.4,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444006,C57BL/6J,4006,6A,H3,370-F,2/6/24,M,HFD,8,0,29.8,0,21.1,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444007,C57BL/6J,4007,6A,I3,370-F,2/6/24,M,HFD,8,0,29.89,0,22.5,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444008,C57BL/6J,4008,6A,J3,370-F,2/6/24,M,HFD,8,0,26.18,0,26.1,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444009,C57BL/6J,4009,6A,K3,370-F,2/6/24,M,HFD,8,0,29.27,0,24.9,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444010,C57BL/6J,4010,6A,L3,370-F,2/6/24,M,HFD,8,0,26.27,0,25,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444011,C57BL/6J,4011,6A,M3,370-F,2/6/24,M,HFD,8,0,29.12,0,23,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444012,C57BL/6J,4012,6A,N3,370-F,2/6/24,M,HFD,8,0,29.55,0,24.3,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444013,C57BL/6J,4013,6A,H4,370-F,2/6/24,M,LFD,8,0,25.73,0,22.9,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444014,C57BL/6J,4014,6A,I4,370-F,2/6/24,M,LFD,8,0,25.26,0,24.9,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444015,C57BL/6J,4015,6A,J4,370-F,2/6/24,M,LFD,8,0,25.01,0,24.6,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444016,C57BL/6J,4016,6A,K4,370-F,2/6/24,M,LFD,8,0,27.97,0,24.4,4/1/24,ECHO_MRI_MEASUREMENT,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443993,C57BL/6J,3993,6A,H1,370-F,2/6/24,F,HFD,8.3,0.3,29.57,24.69,16.48,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443994,C57BL/6J,3994,6A,I1,370-F,2/6/24,F,HFD,8.3,0.3,28.19,22.1,18.31,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443995,C57BL/6J,3995,6A,J1,370-F,2/6/24,F,HFD,8.3,0.3,25.49,19.79,17.32,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443996,C57BL/6J,3996,6A,K1,370-F,2/6/24,F,HFD,8.3,0.3,29.95,25.06,16.58,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443997,C57BL/6J,3997,6A,L1,370-F,2/6/24,F,HFD,8.3,0.3,25.16,18.76,18.72,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443998,C57BL/6J,3998,6A,M1,370-F,2/6/24,F,HFD,8.3,0.3,26.37,21.46,18.4,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443999,C57BL/6J,3999,6A,H2,370-F,2/6/24,F,HFD,8.3,0.3,27.92,21.45,19.74,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444000,C57BL/6J,4000,6A,I2,370-F,2/6/24,F,HFD,8.3,0.3,27.59,21.41,18.15,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444001,C57BL/6J,4001,6A,J2,370-F,2/6/24,F,LFD,8.3,0.3,27.31,24.63,16.44,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444002,C57BL/6J,4002,6A,K2,370-F,2/6/24,F,LFD,8.3,0.3,27.32,23.23,18.27,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444003,C57BL/6J,4003,6A,L2,370-F,2/6/24,F,LFD,8.3,0.3,25.46,25.44,16.9,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444004,C57BL/6J,4004,6A,M2,370-F,2/6/24,F,LFD,8.3,0.3,27.37,26.8,16.48,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444005,C57BL/6J,4005,6A,N2,370-F,2/6/24,M,HFD,8.3,0.3,26.4,21.27,23.31,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444006,C57BL/6J,4006,6A,H3,370-F,2/6/24,M,HFD,8.3,0.3,29.8,24.3,21.12,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444007,C57BL/6J,4007,6A,I3,370-F,2/6/24,M,HFD,8.3,0.3,29.89,21.54,23.93,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444008,C57BL/6J,4008,6A,J3,370-F,2/6/24,M,HFD,8.3,0.3,26.18,18.06,25.55,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444009,C57BL/6J,4009,6A,K3,370-F,2/6/24,M,HFD,8.3,0.3,29.27,21.33,25.55,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
