MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/15/2025 2:11:32,1.17.0,baseline,1,3.77,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,682
2/15/2025 7:54:23,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,1,1,0,0,0,nan,nan,7
2/15/2025 7:54:41,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,2,1,0,0,0,nan,nan,4
2/15/2025 7:54:45,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,3,1,0,0,0,nan,nan,18
2/15/2025 7:54:58,1.17.0,baseline,1,3.78,nan,1,LeftWithPellet,LeftANDRight,4,1,0,0,0,nan,nan,5
2/15/2025 7:55:01,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,5,1,0,0,0,nan,nan,10
2/15/2025 7:55:43,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,6,1,0,0,0,nan,nan,42207
2/15/2025 7:55:45,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,7,1,0,0,0,nan,nan,72
2/15/2025 7:55:46,1.17.0,baseline,1,3.78,nan,1,LeftWithPellet,LeftANDRight,8,1,0,0,0,nan,nan,192
2/15/2025 7:56:04,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,9,1,0,0,0,nan,nan,7504
2/15/2025 7:56:13,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,10,1,0,0,0,nan,nan,3495
2/15/2025 7:57:12,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,11,1,0,0,0,nan,nan,49572
2/15/2025 7:57:28,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,12,1,0,0,0,nan,nan,9755
2/15/2025 7:57:38,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,13,1,0,0,0,nan,nan,15
2/15/2025 7:57:59,1.17.0,baseline,1,3.78,nan,1,LeftWithPellet,LeftANDRight,14,1,0,0,0,nan,nan,1633
2/15/2025 8:00:32,1.17.0,baseline,1,3.77,nan,1,LeftWithPellet,LeftANDRight,15,1,0,0,0,nan,nan,46
