MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/16/2025 11:29:23,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,408,nan
3/16/2025 11:29:39,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,1,0,0,1,0,0.06,nan,nan,15
3/16/2025 11:30:44,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,1,1,0,1,0,nan,nan,281,nan
3/16/2025 11:31:54,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,1,1,0,2,0,53.77,135,nan,15
3/16/2025 11:34:46,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,1,2,0,2,0,nan,nan,267,nan
3/16/2025 11:35:04,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,1,2,0,3,0,1.46,190,nan,15
3/16/2025 11:35:47,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,1,3,0,3,0,nan,nan,93,nan
3/16/2025 11:36:16,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,1,3,0,4,0,13.12,72,nan,15
3/16/2025 11:38:03,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,2,3,0,4,0,nan,nan,290,nan
3/16/2025 11:38:21,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,2,3,0,5,0,2.01,125,nan,15
3/16/2025 11:44:02,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,3,3,0,5,0,nan,nan,281,nan
3/16/2025 11:44:16,1.17.0,certainty,2,4.03,nan,1,RightinTimeout,LeftANDRight,3,4,0,5,0,nan,nan,0,nan
3/16/2025 11:44:18,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,3,4,0,6,0,0.06,357,nan,15
3/16/2025 12:42:47,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,3,5,0,6,0,nan,nan,111,nan
3/16/2025 12:43:03,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,3,5,0,7,0,0.06,3525,nan,15
3/16/2025 12:43:53,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,3,6,0,7,0,nan,nan,287,nan
3/16/2025 12:44:09,1.17.0,certainty,2,4.03,2,1,Pellet,LeftANDRight,3,6,0,8,0,0.79,66,nan,15
3/16/2025 12:44:50,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,4,6,0,8,0,nan,nan,347,nan
3/16/2025 12:45:10,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,6,0,9,0,3.92,61,nan,15
3/16/2025 12:55:41,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,7,0,9,0,nan,nan,320,nan
3/16/2025 12:55:58,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,7,0,10,0,0.85,648,nan,15
3/16/2025 12:56:13,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,8,0,10,0,nan,nan,193,nan
3/16/2025 12:56:29,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,8,0,11,0,0.06,31,nan,15
3/16/2025 12:57:20,1.17.0,certainty,2,4.03,nan,1,Right,LeftANDRight,4,9,0,11,0,nan,nan,69,nan
3/16/2025 12:57:38,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,4,9,0,12,0,2.26,69,nan,15
3/16/2025 15:03:35,1.17.0,certainty,2,4.02,nan,1,Left,LeftANDRight,5,9,0,12,0,nan,nan,206,nan
3/16/2025 15:03:53,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,5,9,0,13,0,1.89,7575,nan,15
3/16/2025 15:04:33,1.17.0,certainty,2,4.03,nan,1,Left,LeftANDRight,6,9,0,13,0,nan,nan,26,nan
3/16/2025 15:04:49,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,6,9,0,14,0,0.06,56,nan,15
3/16/2025 17:59:21,1.17.0,certainty,2,4.02,nan,1,Left,LeftANDRight,7,9,0,14,0,nan,nan,199,nan
3/16/2025 17:59:37,1.17.0,certainty,2,4.03,1,1,Pellet,LeftANDRight,7,9,0,15,0,0.06,10488,nan,15
