MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/3/2025 16:16:03,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,0,1,0,0,0,nan,nan,584,nan
3/3/2025 16:16:19,1.17.0,certainty,8,3.96,2,1,Pellet,LeftANDRight,0,1,0,1,0,0.06,nan,nan,15
3/3/2025 16:16:29,1.17.0,certainty,8,3.96,nan,1,Left,LeftANDRight,1,1,0,1,0,nan,nan,610,nan
3/3/2025 16:20:33,1.17.0,certainty,8,3.96,2,1,Pellet,LeftANDRight,1,1,0,2,0,228.39,254,nan,15
3/3/2025 16:26:34,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,1,2,0,2,0,nan,nan,1248,nan
3/3/2025 16:26:50,1.17.0,certainty,8,3.96,1,1,Pellet,LeftANDRight,1,2,0,3,0,0.06,377,nan,15
3/3/2025 16:35:55,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,1,3,0,3,0,nan,nan,53,nan
3/3/2025 16:36:11,1.17.0,certainty,8,3.96,1,1,Pellet,LeftANDRight,1,3,0,4,0,0.06,561,nan,15
3/3/2025 16:42:53,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,1,4,0,4,0,nan,nan,43,nan
3/3/2025 16:43:10,1.17.0,certainty,8,3.96,1,1,Pellet,LeftANDRight,1,4,0,5,0,1.34,419,nan,15
3/3/2025 16:53:43,1.17.0,certainty,8,3.96,nan,1,Left,LeftANDRight,2,4,0,5,0,nan,nan,267,nan
3/3/2025 16:54:04,1.17.0,certainty,8,3.96,2,1,Pellet,LeftANDRight,2,4,0,6,0,3.42,654,nan,15
3/3/2025 18:36:44,1.17.0,certainty,8,3.96,nan,1,Left,LeftANDRight,3,4,0,6,0,nan,nan,41,nan
3/3/2025 18:37:00,1.17.0,certainty,8,3.95,2,1,Pellet,LeftANDRight,3,4,0,7,0,0.06,6176,nan,15
3/3/2025 18:37:12,1.17.0,certainty,8,3.95,nan,1,Right,LeftANDRight,3,5,0,7,0,nan,nan,380,nan
3/3/2025 18:37:40,1.17.0,certainty,8,3.96,1,1,Pellet,LeftANDRight,3,5,0,8,0,11.96,40,nan,15
3/3/2025 18:41:00,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,3,6,0,8,0,nan,nan,88,nan
3/3/2025 18:41:17,1.17.0,certainty,8,3.96,1,1,Pellet,LeftANDRight,3,6,0,9,0,1.77,217,nan,15
3/3/2025 18:46:55,1.17.0,certainty,8,3.95,nan,1,Right,LeftANDRight,3,7,0,9,0,nan,nan,206,nan
3/3/2025 18:47:15,1.17.0,certainty,8,3.95,2,1,Pellet,LeftANDRight,3,7,0,10,0,1.95,358,nan,15
3/3/2025 19:36:46,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,3,8,0,10,0,nan,nan,202,nan
3/3/2025 19:37:18,1.17.0,certainty,8,3.95,2,1,Pellet,LeftANDRight,3,8,0,11,0,13.99,3003,nan,15
3/3/2025 19:46:04,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,3,9,0,11,0,nan,nan,29,nan
3/3/2025 19:46:20,1.17.0,certainty,8,3.95,1,1,Pellet,LeftANDRight,3,9,0,12,0,0.06,542,nan,15
3/3/2025 19:55:45,1.17.0,certainty,8,3.95,nan,1,Right,LeftANDRight,3,10,0,12,0,nan,nan,342,nan
3/3/2025 19:56:01,1.17.0,certainty,8,3.95,1,1,Pellet,LeftANDRight,3,10,0,13,0,0.06,581,nan,15
3/3/2025 20:09:29,1.17.0,certainty,8,3.95,nan,1,Left,LeftANDRight,4,10,0,13,0,nan,nan,514,nan
3/3/2025 20:09:46,1.17.0,certainty,8,3.95,1,1,Pellet,LeftANDRight,4,10,0,14,0,1.28,825,nan,15
3/3/2025 20:12:15,1.17.0,certainty,8,3.96,nan,1,Right,LeftANDRight,4,11,0,14,0,nan,nan,30,nan
3/3/2025 20:12:31,1.17.0,certainty,8,3.95,1,1,Pellet,LeftANDRight,4,11,0,15,0,0.06,165,nan,15
3/3/2025 20:16:25,1.17.0,certainty,8,3.95,nan,1,Right,LeftANDRight,4,12,0,15,0,nan,nan,77,nan
3/3/2025 20:16:42,1.17.0,certainty,8,3.95,2,1,Pellet,LeftANDRight,4,12,0,16,0,0.06,251,nan,15
3/3/2025 20:25:53,1.17.0,certainty,8,3.95,nan,1,Right,LeftANDRight,4,13,0,16,0,nan,nan,281,nan
