ID,starting_bw,time
3708,43.775127417670454,4.511886587696143
3710,46.006743978760255,6.243034456215602
3714,42.969891218038434,4.081691481637872
3720,31.78539371535964,2.1741406592123544
3721,38.48089218409347,2.977821716115886
3722,37.99667756568171,2.818962135724369
3727,38.543237662970874,3.7192695253757577
3728,39.16805142974741,4.321632185538753
3729,42.821253468346654,4.325798463571202
7872,19.543035161103468,1.2202427772328481
7874,21.742247628534624,2.1208075825206776
7877,23.73354008475335,2.8754527303541053
7878,20.686226405297006,1.4129207866089415
