ID,starting_bw,time
3706,34.39370375030309,3.2317004915777323
3707,43.788363286154784,5.2541255800252875
3708,43.85970728493579,4.652991514883822
3709,40.616412731094314,3.7547675581176225
3710,46.21984127749495,6.184654623895639
3711,42.450380901178946,4.402743842452674
3712,45.95704651699927,4.512894903699617
3713,39.23564821128387,3.4272364607496297
3714,43.07414678261386,4.201173036781784
3716,37.325485407285676,3.565352442386626
3717,37.514202610097335,3.096468610560428
3718,39.93203214735118,3.365817470742578
3719,40.37749991648501,3.5458940567643302
3720,32.00008990944647,2.242887679100595
3721,38.63028952948543,3.190966929225059
3722,38.06266108473119,2.889654097214219
3723,41.506717052893784,3.3091475167503317
3724,38.70849457743347,3.971188159923798
3725,37.944338425115184,3.9882678524796855
3726,40.44045353698857,4.8088220299428235
3727,38.63289970575577,3.625687839118516
3728,39.36123580435618,4.257842152913216
3729,42.958616086831476,4.415218638123729
