ID,starting_bw,time_bw,starting_fi,time_fi,starting_ai,time_ai,starting_fat,time_fat,starting_lean,time_lean,tee_delta
3706,34.39370375,3.231700492,396.9442441,201.6146646,0.499129593,0.101030726,11.81380553,3.22626568,23.70325661,1.007042535,2.7165057
3707,43.78836329,5.25412558,473.9481947,244.3903603,0.685037977,0.130722182,17.91869787,4.868351371,25.79068503,1.378708882,2.07897257
3708,43.85970728,4.652991515,413.2409822,226.234222,0.735811282,0.106825696,18.73036733,3.550702257,25.23801878,1.16294396,-1.5167213
3709,40.61641273,3.754767558,395.5599191,217.9687161,0.659680168,0.116743324,16.54286185,3.730767182,24.95864342,1.023175611,0.17354602
3710,46.21984128,6.184654624,433.9603316,235.5691043,0.797806643,0.150875515,20.52881636,5.544432526,25.32169399,1.348982425,-0.722691
3711,42.4503809,4.402743842,385.4494333,212.6021666,0.745304776,0.137094321,18.09402318,4.29733496,24.14113679,0.982096484,1.06499679
3712,45.95704652,4.512894904,464.461838,230.2951425,0.685465049,0.104373869,19.07039509,3.824209091,27.61656641,1.322742039,5.57346602
3713,39.23564821,3.427236461,382.9730808,205.7229837,0.632182773,0.098213931,16.28702184,3.052134938,25.87209818,0.96466025,3.20790087
3714,43.07414678,4.201173037,371.4793429,207.8704144,0.70247066,0.09314553,18.58588903,2.934067486,26.31483283,1.131078954,-0.6401034
3716,37.32548541,3.565352442,344.4778525,177.5514175,0.658517645,0.104552485,15.69000971,3.363524255,23.65709027,1.125777955,1.40305506
3717,37.51420261,3.096468611,364.4230923,179.6345577,0.566374709,0.08117725,14.35565177,2.657096697,25.34679519,1.177518192,1.20495834
3718,39.93203215,3.365817471,308.8751827,168.9703419,0.72794247,0.098713783,18.05683121,3.05787667,24.61820032,1.107399272,-0.2493085
3719,40.37749992,3.545894057,311.8860448,166.8452692,0.761430355,0.106638457,18.4541291,3.353795427,24.00921475,1.126036174,-0.0728857
3720,32.00008991,2.242887679,326.9512587,163.9593601,0.475223877,0.065712425,11.04670112,1.938621657,23.38724722,0.988449717,-2.1993513
3721,38.63028953,3.190966929,316.9857935,178.72775,0.555632971,0.081113313,14.42124233,2.596831683,26.0454568,1.099895953,-1.5223985
3722,38.06266108,2.889654097,326.413383,181.0882412,0.530352559,0.068282582,13.84835106,1.960187035,26.32864445,1.050682499,-2.2588212
3724,38.70849458,3.97118816,313.4010548,176.1578431,0.683006583,0.106442016,16.76027844,3.312006629,24.39956472,1.076234715,-2.8343833
3725,37.94433843,3.988267852,347.2772226,186.9119527,0.77027152,0.127244438,17.82899386,3.374162103,23.13855465,0.745692862,-2.8564749
3726,40.44045354,4.80882203,317.2506626,182.2950989,0.731738779,0.135092083,17.76326837,4.428002382,24.06639327,1.081112747,-1.836723
3727,38.63289971,3.625687839,331.6963758,178.6834832,0.647446999,0.06771489,16.72732679,1.531667866,25.78706537,1.038368536,-1.1908062
3728,39.3612358,4.257842153,310.8721201,168.7677869,0.741886725,0.078332734,19.05299048,1.919528623,25.46272605,1.078955341,-2.8242466
3729,42.95861609,4.415218638,328.6036562,180.5155622,0.772025351,0.072209434,20.75610332,1.632780806,26.59183397,1.160136189,-2.4403181
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
