ID,delta_tee
3706,2.7165057016666587
3707,2.0789725699999835
3708,-1.5167213016666778
3709,0.17354601666663783
3710,-0.7226909683333709
3711,1.0649967866666827
3712,5.573466024999993
3713,3.2079008733333367
3714,-0.6401034366667044
3716,1.403055063333344
3717,1.2049583391667067
3718,-0.24930854166663252
3719,-0.07288569666667755
3720,-2.1993513200000008
3721,-1.522398525000023
3722,-2.2588211633333213
3724,-2.834383281666648
3725,-2.8564749483333127
3726,-1.8367229733333392
3727,-1.19080618499998
3728,-2.8242465766666704
3729,-2.440318141666676
