MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Delay
3/22/2025 13:38:15,1.17.0,uncertainty,5,4.22,nan,1,Left,LeftANDRight,1,0,0,0,0,nan,nan,459,nan
3/22/2025 13:39:23,1.17.0,uncertainty,5,4.22,1,1,Pellet,LeftANDRight,1,0,0,1,0,67.16,nan,nan,0
3/22/2025 13:41:16,1.17.0,uncertainty,5,4.22,nan,1,Right,LeftANDRight,1,1,0,1,0,nan,nan,115,nan
3/22/2025 13:41:17,1.17.0,uncertainty,5,4.22,nan,1,LeftinTimeOut,LeftANDRight,2,1,0,1,0,nan,nan,nan,nan
3/22/2025 13:41:22,1.17.0,uncertainty,5,4.22,1,1,Pellet,LeftANDRight,2,1,0,2,0,1.40,119,nan,4
3/22/2025 13:43:24,1.17.0,uncertainty,5,4.22,nan,1,Left,LeftANDRight,3,1,0,2,0,nan,nan,2,nan
3/22/2025 13:44:24,1.17.0,uncertainty,5,4.22,nan,1,RightinTimeout,LeftANDRight,3,2,0,2,0,nan,nan,0,nan
3/22/2025 13:45:19,1.17.0,uncertainty,5,4.21,nan,1,RightinTimeout,LeftANDRight,3,3,0,2,0,nan,nan,0,nan
3/22/2025 13:45:45,1.17.0,uncertainty,5,4.22,nan,1,RightinTimeout,LeftANDRight,3,4,0,2,0,nan,nan,0,nan
3/22/2025 13:45:51,1.17.0,uncertainty,5,4.22,2,1,Pellet,LeftANDRight,3,4,0,3,0,0.24,269,nan,146
3/22/2025 13:59:40,1.17.0,uncertainty,5,4.22,nan,1,Left,LeftANDRight,4,4,0,3,0,nan,nan,228,nan
3/22/2025 13:59:42,1.17.0,uncertainty,5,4.22,1,1,Pellet,LeftANDRight,4,4,0,4,0,0.79,831,nan,0
3/22/2025 14:04:50,1.17.0,uncertainty,5,4.22,nan,1,Left,LeftANDRight,5,4,0,4,0,nan,nan,244,nan
3/22/2025 14:04:52,1.17.0,uncertainty,5,4.22,1,1,Pellet,LeftANDRight,5,4,0,5,0,0.91,310,nan,0
3/22/2025 14:05:04,1.17.0,uncertainty,5,4.21,nan,1,Right,LeftANDRight,5,5,0,5,0,nan,nan,31,nan
3/22/2025 14:05:59,1.17.0,uncertainty,5,4.21,nan,1,RightinTimeout,LeftANDRight,5,6,0,5,0,nan,nan,0,nan
3/22/2025 16:47:58,1.17.0,uncertainty,5,4.20,1,1,Pellet,LeftANDRight,5,6,0,6,0,Timed_out,9785,nan,116
3/22/2025 16:48:25,1.17.0,uncertainty,5,4.21,nan,1,Left,LeftANDRight,6,6,0,6,0,nan,nan,66,nan
3/22/2025 16:48:27,1.17.0,uncertainty,5,4.20,nan,1,LeftinTimeOut,LeftANDRight,7,6,0,6,0,nan,nan,nan,nan
3/22/2025 16:48:31,1.17.0,uncertainty,5,4.20,nan,1,RightinTimeout,LeftANDRight,7,7,0,6,0,nan,nan,0,nan
3/22/2025 16:48:49,1.17.0,uncertainty,5,4.20,nan,1,RightinTimeout,LeftANDRight,7,8,0,6,0,nan,nan,0,nan
3/22/2025 16:48:51,1.17.0,uncertainty,5,4.20,nan,1,RightinTimeout,LeftANDRight,7,9,0,6,0,nan,nan,0,nan
3/22/2025 16:48:53,1.17.0,uncertainty,5,4.20,nan,1,LeftinTimeOut,LeftANDRight,8,9,0,6,0,nan,nan,nan,nan
3/22/2025 16:49:06,1.17.0,uncertainty,5,4.20,nan,1,LeftinTimeOut,LeftANDRight,9,9,0,6,0,nan,nan,nan,nan
3/22/2025 16:50:08,1.17.0,uncertainty,5,4.20,1,1,Pellet,LeftANDRight,9,9,0,7,0,20.02,131,nan,82
3/22/2025 16:50:29,1.17.0,uncertainty,5,4.20,nan,1,Left,LeftANDRight,10,9,0,7,0,nan,nan,98,nan
3/22/2025 16:50:30,1.17.0,uncertainty,5,4.20,1,1,Pellet,LeftANDRight,10,9,0,8,0,0.36,22,nan,0
3/22/2025 16:50:56,1.17.0,uncertainty,5,4.20,nan,1,Left,LeftANDRight,11,9,0,8,0,nan,nan,61,nan
3/22/2025 16:51:09,1.17.0,uncertainty,5,4.20,1,1,Pellet,LeftANDRight,11,9,0,9,0,0.36,39,nan,12
3/22/2025 16:51:17,1.17.0,uncertainty,5,4.20,nan,1,Left,LeftANDRight,12,9,0,9,0,nan,nan,143,nan
