ID,starting_bw,time
3706,34.395223035722196,3.2293291709776963
3707,43.787735272100925,5.255500993612403
3708,43.86774082339715,4.5638891254008485
3709,40.61776530028286,3.746970823687412
3710,46.218020712222255,6.191010308821914
3711,42.450939922153616,4.398035729864968
3712,45.9578125710039,4.503233524246988
3713,39.23738541149966,3.4184537212479658
3714,43.07508858680619,4.193405001431322
3716,37.32687887610245,3.560991971632305
3717,37.516346067913766,3.08706225732201
3718,39.87810756490788,3.235269173450787
3719,40.38075337457276,3.464663009335538
3720,32.002926212729456,2.1899296783664988
3721,38.59109100038055,3.0773010312838247
3722,38.06519819523989,2.8771569553583993
3723,41.508953037719735,3.2947855845797718
3724,38.70935663585546,3.9685813151898586
3725,37.945089510527836,3.987199524434119
3726,40.44014907102257,4.811729378731561
3727,38.63439318777198,3.6193430357495298
3728,39.36171666933272,4.256981738441051
3729,42.95923297463317,4.409453198369333
