ID,starting_fi,time
3706,396.9318732186423,201.64187505737448
3707,473.9439116512356,244.38804237339934
3708,414.3884762920942,227.97877265582073
3709,395.5624719426528,217.95672743882233
3710,433.9636943882613,235.550687167361
3711,385.4511441109588,212.59347524256995
3712,464.4485357960725,230.31737124548647
3713,382.96968809583194,205.72801170377406
3714,371.4823068105565,207.85984661558797
3716,344.4624006496073,177.592569393924
3717,364.40092370506653,179.69102178720271
3718,310.29345343041655,171.15315899735504
3719,313.37887660002355,169.15489767604547
3720,328.4035208425339,166.2402818868614
3721,318.4465548081921,180.94212985526812
3722,326.4095960723978,181.10067223258287
3723,342.6437119617825,184.04572263506782
3724,313.39801106269005,176.16988815919063
3725,347.2701778380815,186.93047192467884
3726,317.2521789656188,182.29495520315393
3727,331.68733858286396,178.70936316455303
3728,310.86220993442214,168.79870573424628
3729,328.5979933363914,180.53289182908932
