ID,starting_fat,time
3706,11.81380552589482,3.2262656801450085
3707,17.918697868772515,4.86835137107101
3708,18.730367332409557,3.550702257491075
3709,16.54286184905982,3.7307671817480643
3710,20.52881635944054,5.544432526078392
3711,18.094023177882303,4.297334960421317
3712,19.07039509045765,3.8242090905920803
3713,16.287021844596335,3.05213493801041
3714,18.585889031627755,2.9340674858415157
3716,15.69000971344908,3.3635242549247946
3717,14.355651772321004,2.657096696794861
3718,18.056831209716737,3.05787666984949
3719,18.454129098163577,3.3537954265009757
3720,11.046701121690827,1.938621657309517
3721,14.421242330369221,2.596831682600387
3722,13.848351062627993,1.9601870348569497
3723,17.78854381815547,2.4621973500572754
3724,16.7602784425903,3.3120066289670427
3725,17.828993858931586,3.374162102932551
3726,17.763268367920087,4.4280023817347685
3727,16.72732678951631,1.531667865759989
3728,19.052990483279718,1.9195286234640987
3729,20.75610332048607,1.632780806127327
