MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/15/2025 5:51:28,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,8,34,0,0,0,nan,nan,22
2/15/2025 5:52:03,1.17.0,No-Uncertainty,8,3.58,nan,1,LeftWithPellet,LeftANDRight,9,34,0,0,0,nan,nan,224
2/15/2025 5:53:43,1.17.0,No-Uncertainty,8,3.57,8,1,Pellet,LeftANDRight,9,34,0,1,0,Timed_out,nan,nan
2/15/2025 5:56:33,1.17.0,No-Uncertainty,8,3.58,nan,1,Right,LeftANDRight,9,35,0,1,0,nan,nan,24
2/15/2025 5:56:59,1.17.0,No-Uncertainty,8,3.58,3,1,Pellet,LeftANDRight,9,35,0,2,0,21.64,196,nan
2/15/2025 5:58:01,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,9,36,0,2,0,nan,nan,280
2/15/2025 6:01:34,1.17.0,No-Uncertainty,8,3.57,3,1,Pellet,LeftANDRight,9,36,0,3,0,Timed_out,275,nan
2/15/2025 6:02:14,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,9,37,0,3,0,nan,nan,0
2/15/2025 6:02:14,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,9,38,0,3,0,nan,nan,0
2/15/2025 6:02:34,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,10,38,0,3,0,nan,nan,220
2/15/2025 6:02:34,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,11,38,0,3,0,nan,nan,456
2/15/2025 6:02:37,1.17.0,No-Uncertainty,8,3.57,2,1,Pellet,LeftANDRight,11,38,0,4,0,20.77,63,nan
2/15/2025 6:02:54,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,11,39,0,4,0,nan,nan,28
2/15/2025 6:03:35,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,12,39,0,4,0,nan,nan,227
2/15/2025 6:03:37,1.17.0,No-Uncertainty,8,3.57,3,1,Pellet,LeftANDRight,12,39,0,5,0,38.35,60,nan
2/15/2025 6:04:45,1.17.0,No-Uncertainty,8,3.58,nan,1,Left,LeftANDRight,13,39,0,5,0,nan,nan,5
2/15/2025 6:05:01,1.17.0,No-Uncertainty,8,3.57,2,1,Pellet,LeftANDRight,13,39,0,6,0,13.18,84,nan
2/15/2025 6:05:44,1.17.0,No-Uncertainty,8,3.57,nan,1,Left,LeftANDRight,14,39,0,6,0,nan,nan,82
2/15/2025 6:05:44,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:05:44,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:05:44,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:05:45,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:05:45,1.17.0,No-Uncertainty,8,3.58,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:05:45,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:05:46,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:05:46,1.17.0,No-Uncertainty,8,3.58,nan,1,LeftinTimeOut,LeftANDRight,15,39,0,6,0,nan,nan,nan
2/15/2025 6:06:27,1.17.0,No-Uncertainty,8,3.58,6,1,Pellet,LeftANDRight,15,39,0,7,0,29.22,86,nan
2/15/2025 6:12:29,1.17.0,No-Uncertainty,8,3.58,nan,1,Right,LeftANDRight,15,40,0,7,0,nan,nan,86
2/15/2025 6:12:29,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,0
2/15/2025 6:12:29,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,278
2/15/2025 6:12:30,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,557
2/15/2025 6:12:30,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,839
2/15/2025 6:12:30,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,1117
2/15/2025 6:12:30,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,1396
2/15/2025 6:12:31,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,1674
2/15/2025 6:12:31,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,15,41,0,7,0,nan,nan,1953
